%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,11159.0,38412634.0,38412634.0,1,May 29,1,Friday,False,3442,Backrooms
-,-35.6%,7187.0,63150370.0,24737736.0,1,May 30,2,Saturday,False,3442,Backrooms
-,-26.2%,5302.0,81402424.0,18252054.0,1,May 31,3,Sunday,False,3442,Backrooms
-,-58%,2228.0,89072024.0,7669600.0,1,Jun 1,4,Monday,False,3442,Backrooms
-,+14.4%,2549.0,97848566.0,8776542.0,1,Jun 2,5,Tuesday,False,3442,Backrooms
-,-31.5%,1746.0,103860498.0,6011931.0,1,Jun 3,6,Wednesday,False,3442,Backrooms
-,-12.6%,1526.0,109114925.0,5254428.0,2,Jun 4,7,Thursday,False,3442,Backrooms
-79.2%,+51.8%,2236.0,117089514.0,7974589.0,3,Jun 5,8,Friday,False,3565,Backrooms
-57.8%,+31%,2930.0,127536226.0,10446712.0,2,Jun 6,9,Saturday,False,3565,Backrooms
-57.1%,-25%,2197.0,135371260.0,7835034.0,3,Jun 7,10,Sunday,False,3565,Backrooms
-57.1%,-58%,923.0,138661974.0,3290714.0,3,Jun 8,11,Monday,False,3565,Backrooms
-50.1%,+33%,1227.0,143038624.0,4376650.0,3,Jun 9,12,Tuesday,False,3565,Backrooms
-47.6%,-28%,883.0,146189812.0,3151188.0,3,Jun 10,13,Wednesday,False,3565,Backrooms
-50.8%,-18%,724.0,148773786.0,2583974.0,3,Jun 11,14,Thursday,False,3565,Backrooms
-54.5%,+40.6%,1067.0,152406194.0,3632408.0,4,Jun 12,15,Friday,False,3404,Backrooms
-58.3%,+20%,1280.0,156765084.0,4358890.0,4,Jun 13,16,Saturday,False,3404,Backrooms
-54.9%,-19%,1037.0,160295784.0,3530701.0,4,Jun 14,17,Sunday,False,3404,Backrooms
-46.4%,-50%,518.0,162061134.0,1765350.0,3,Jun 15,18,Monday,False,3404,Backrooms
-48%,+29%,669.0,164338436.0,2277302.0,3,Jun 16,19,Tuesday,False,3404,Backrooms
-41.5%,-19%,541.0,166183051.0,1844615.0,3,Jun 17,20,Wednesday,False,3404,Backrooms
-34.3%,-8%,498.0,167880096.0,1697045.0,3,Jun 18,21,Thursday,False,3404,Backrooms
-32%,+45.5%,866.0,170350133.0,2470037.0,4,Jun 19,22,Friday,False,2851,Backrooms
-36.5%,+12%,970.0,173116575.0,2766442.0,4,Jun 20,23,Saturday,False,2851,Backrooms
-45.2%,-30%,679.0,175053085.0,1936509.0,5,Jun 21,24,Sunday,False,2851,Backrooms
-29.8%,-36%,434.0,176292451.0,1239366.0,4,Jun 22,25,Monday,False,2851,Backrooms
-34.7%,+20%,521.0,177779690.0,1487239.0,4,Jun 23,26,Tuesday,False,2851,Backrooms
