%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,4052.0,15068368.0,15068368.0,1,Jun 15,1,Wednesday,False,3718,Batman Begins
-,-39.7%,2443.0,24151546.0,9083178.0,1,Jun 16,2,Thursday,False,3718,Batman Begins
-,+65.9%,3906.0,39223788.0,15072242.0,1,Jun 17,3,Friday,False,3858,Batman Begins
-,+19.5%,4670.0,57240835.0,18017047.0,1,Jun 18,4,Saturday,False,3858,Batman Begins
-,-13.1%,4058.0,72896986.0,15656151.0,1,Jun 19,5,Sunday,False,3858,Batman Begins
-,-57.7%,1717.0,79524398.0,6627412.0,1,Jun 20,6,Monday,False,3858,Batman Begins
-,-18.5%,1400.0,84928817.0,5404419.0,1,Jun 21,7,Tuesday,False,3858,Batman Begins
-63.4%,+2.1%,1430.0,90446984.0,5518167.0,1,Jun 22,8,Wednesday,False,3858,Batman Begins
-50.7%,-18.9%,1160.0,94922424.0,4475440.0,1,Jun 23,9,Thursday,False,3858,Batman Begins
-45.1%,+84.8%,2143.0,103192167.0,8269743.0,1,Jun 24,10,Friday,False,3858,Batman Begins
-40.8%,+29%,2764.0,113856497.0,10664330.0,1,Jun 25,11,Saturday,False,3858,Batman Begins
-44.7%,-18.8%,2243.0,122511813.0,8655316.0,1,Jun 26,12,Sunday,False,3858,Batman Begins
-39.5%,-53.7%,1039.0,126521851.0,4010038.0,1,Jun 27,13,Monday,False,3858,Batman Begins
-31%,-7%,966.0,130249189.0,3727338.0,1,Jun 28,14,Tuesday,False,3858,Batman Begins
-53.3%,-30.9%,683.0,132823668.0,2574479.0,2,Jun 29,15,Wednesday,False,3765,Batman Begins
-41.1%,+2.4%,700.0,135460937.0,2637269.0,2,Jun 30,16,Thursday,False,3765,Batman Begins
-44.7%,+73.4%,1214.0,140035127.0,4574190.0,2,Jul 1,17,Friday,False,3765,Batman Begins
-46.8%,+24.1%,1507.0,145711040.0,5675913.0,2,Jul 2,18,Saturday,False,3765,Batman Begins
-38.1%,-5.6%,1423.0,151070575.0,5359535.0,2,Jul 3,19,Sunday,False,3765,Batman Begins
-7%,-30.4%,990.0,154800369.0,3729794.0,2,Jul 4Independence Day,20,Monday,False,3765,Batman Begins
-32%,-32%,673.0,157335686.0,2535317.0,2,Jul 5,21,Tuesday,False,3765,Batman Begins
-8.9%,-7.5%,622.0,159680978.0,2345292.0,2,Jul 6,22,Wednesday,False,3765,Batman Begins
-16.3%,-5.8%,586.0,161889333.0,2208355.0,2,Jul 7,23,Thursday,False,3765,Batman Begins
-33.2%,+38.3%,913.0,164944169.0,3054836.0,4,Jul 8,24,Friday,False,3344,Batman Begins
-30%,+30%,1187.0,168915279.0,3971110.0,3,Jul 9,25,Saturday,False,3344,Batman Begins
