%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,5305.0,19736259.0,19736259.0,1,Jul 21,1,Friday,False,3720,Dunkirk
-,-11.1%,4716.0,37279904.0,17543645.0,1,Jul 22,2,Saturday,False,3720,Dunkirk
-,-24.6%,3557.0,50513488.0,13233584.0,1,Jul 23,3,Sunday,False,3720,Dunkirk
-,-51.3%,1732.0,56957597.0,6444109.0,1,Jul 24,4,Monday,False,3720,Dunkirk
-,+14.6%,1984.0,64341309.0,7383712.0,1,Jul 25,5,Tuesday,False,3720,Dunkirk
-,-30%,1390.0,69512746.0,5171437.0,1,Jul 26,6,Wednesday,False,3720,Dunkirk
-,+0.4%,1396.0,74706220.0,5193474.0,1,Jul 27,7,Thursday,False,3720,Dunkirk
-60%,+52.1%,2107.0,82604477.0,7898257.0,2,Jul 28,8,Friday,False,3748,Dunkirk
-36.3%,+41.6%,2983.0,93786511.0,11182034.0,1,Jul 29,9,Saturday,False,3748,Dunkirk
-43.1%,-32.7%,2009.0,101317350.0,7530839.0,1,Jul 30,10,Sunday,False,3748,Dunkirk
-48.4%,-55.9%,886.0,104641608.0,3324258.0,1,Jul 31,11,Monday,False,3748,Dunkirk
-39.4%,+34.5%,1193.0,109113978.0,4472370.0,1,Aug 1,12,Tuesday,False,3748,Dunkirk
-32.1%,-21.4%,937.0,112627216.0,3513238.0,1,Aug 2,13,Wednesday,False,3748,Dunkirk
-35.9%,-5.3%,888.0,115955738.0,3328522.0,1,Aug 3,14,Thursday,False,3748,Dunkirk
-36.9%,+49.8%,1242.0,120942739.0,4987001.0,2,Aug 4,15,Friday,False,4014,Dunkirk
-35.5%,+44.6%,1796.0,128153557.0,7210818.0,1,Aug 5,16,Saturday,False,4014,Dunkirk
-34.4%,-31.5%,1230.0,133090984.0,4937427.0,1,Aug 6,17,Sunday,False,4014,Dunkirk
-18.2%,-44.9%,677.0,135809375.0,2718391.0,1,Aug 7,18,Monday,False,4014,Dunkirk
-38.7%,+0.9%,683.0,138552555.0,2743180.0,1,Aug 8,19,Tuesday,False,4014,Dunkirk
-44.4%,-28.8%,486.0,140506329.0,1953774.0,1,Aug 9,20,Wednesday,False,4014,Dunkirk
-45.9%,-7.8%,448.0,142307551.0,1801222.0,1,Aug 10,21,Thursday,False,4014,Dunkirk
-37.4%,+73.2%,829.0,145427847.0,3120296.0,2,Aug 11,22,Friday,False,3762,Dunkirk
-32.7%,+55.4%,1289.0,150277555.0,4849708.0,2,Aug 12,23,Saturday,False,3762,Dunkirk
-41%,-39.9%,774.0,153191668.0,2914113.0,2,Aug 13,24,Sunday,False,3762,Dunkirk
-52.1%,-55.3%,345.0,154492940.0,1301272.0,2,Aug 14,25,Monday,False,3762,Dunkirk
-33.2%,+40.8%,487.0,156325385.0,1832445.0,2,Aug 15,26,Tuesday,False,3762,Dunkirk
-34.7%,-30.4%,339.0,157601682.0,1276297.0,2,Aug 16,27,Wednesday,False,3762,Dunkirk
-33%,-5.5%,320.0,158808079.0,1206397.0,2,Aug 17,28,Thursday,False,3762,Dunkirk
-34.4%,+69.8%,626.0,160856494.0,2048415.0,4,Aug 18,29,Friday,False,3271,Dunkirk
-41.8%,+37.8%,862.0,163678652.0,2822158.0,4,Aug 19,30,Saturday,False,3271,Dunkirk
-40.2%,-38.2%,533.0,165422464.0,1743812.0,4,Aug 20,31,Sunday,False,3271,Dunkirk
-49.6%,-62.4%,200.0,166077762.0,655298.0,4,Aug 21,32,Monday,False,3271,Dunkirk
-45.1%,+53.6%,307.0,167084507.0,1006745.0,4,Aug 22,33,Tuesday,False,3271,Dunkirk
-41.7%,-26.1%,227.0,167828683.0,744176.0,3,Aug 23,34,Wednesday,False,3271,Dunkirk
-41.9%,-5.9%,214.0,168529030.0,700347.0,3,Aug 24,35,Thursday,False,3271,Dunkirk
-42%,+69.7%,428.0,169717221.0,1188191.0,6,Aug 25,36,Friday,False,2774,Dunkirk
-42.5%,+36.6%,585.0,171340745.0,1623524.0,7,Aug 26,37,Saturday,False,2774,Dunkirk
-34.8%,-30%,409.0,172477172.0,1136427.0,6,Aug 27,38,Sunday,False,2774,Dunkirk
-27.2%,-58%,171.0,172954097.0,476925.0,5,Aug 28,39,Monday,False,2774,Dunkirk
-30.1%,+47.7%,253.0,173658305.0,704208.0,5,Aug 29,40,Tuesday,False,2774,Dunkirk
-32.3%,-28.4%,181.0,174162476.0,504171.0,4,Aug 30,41,Wednesday,False,2774,Dunkirk
-33.3%,-7.4%,168.0,174629545.0,467069.0,5,Aug 31,42,Thursday,False,2774,Dunkirk
-21.2%,+100.5%,340.0,175566073.0,936528.0,6,Sep 1,43,Friday,False,2752,Dunkirk
+0.6%,+74.5%,593.0,177200121.0,1634048.0,6,Sep 2,44,Saturday,False,2752,Dunkirk
+58.6%,+10.3%,655.0,179002826.0,1802705.0,5,Sep 3,45,Sunday,False,2752,Dunkirk
+152%,-33.3%,436.0,180204578.0,1201752.0,5,Sep 4Labor Day,46,Monday,False,2752,Dunkirk
-47.4%,-69.2%,134.0,180575087.0,370509.0,5,Sep 5,47,Tuesday,False,2752,Dunkirk
-35.5%,-12.3%,118.0,180900175.0,325088.0,4,Sep 6,48,Wednesday,False,2752,Dunkirk
-44.3%,-20%,94.0,181160279.0,260104.0,4,Sep 7,49,Thursday,False,2752,Dunkirk
-41.3%,+111.3%,260.0,181709807.0,549528.0,6,Sep 8,50,Friday,False,2110,Dunkirk
-47.6%,+55.9%,405.0,182566446.0,856639.0,8,Sep 9,51,Saturday,False,2110,Dunkirk
-74.7%,-46.8%,215.0,183021880.0,455434.0,8,Sep 10,52,Sunday,False,2110,Dunkirk
-85.6%,-61.9%,82.0,183195308.0,173428.0,7,Sep 11,53,Monday,False,2110,Dunkirk
-31%,+47.4%,121.0,183450867.0,255559.0,7,Sep 12,54,Tuesday,False,2110,Dunkirk
-36.2%,-18.9%,98.0,183658239.0,207372.0,6,Sep 13,55,Wednesday,False,2110,Dunkirk
-31.4%,-14%,84.0,183836652.0,178413.0,7,Sep 14,56,Thursday,False,2110,Dunkirk
-29.3%,+117.6%,262.0,184224958.0,388306.0,10,Sep 15,57,Friday,False,1478,Dunkirk
-30.3%,+53.8%,404.0,184822140.0,597182.0,11,Sep 16,58,Saturday,False,1478,Dunkirk
