%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,5744.0,21782199.0,21782199.0,1,Jul 16,1,Friday,False,3792,Inception
-,<0.1%,5746.0,43573807.0,21791608.0,1,Jul 17,2,Saturday,False,3792,Inception
-,-11.8%,5066.0,62785337.0,19211530.0,1,Jul 18,3,Sunday,False,3792,Inception
-,-47%,2686.0,72970702.0,10185365.0,1,Jul 19,4,Monday,False,3792,Inception
-,-4.1%,2575.0,82735839.0,9765137.0,1,Jul 20,5,Tuesday,False,3792,Inception
-,-9.3%,2336.0,91595161.0,8859322.0,1,Jul 21,6,Wednesday,False,3792,Inception
-,-3.3%,2258.0,100158412.0,8563251.0,1,Jul 22,7,Thursday,False,3792,Inception
-39.9%,+52.8%,3450.0,113242131.0,13083719.0,1,Jul 23,8,Friday,False,3792,Inception
-24.2%,+26.2%,4354.0,129755003.0,16512872.0,1,Jul 24,9,Saturday,False,3792,Inception
-31.7%,-20.5%,3462.0,142883424.0,13128421.0,1,Jul 25,10,Sunday,False,3792,Inception
-40.4%,-53.8%,1599.0,148948901.0,6065477.0,1,Jul 26,11,Monday,False,3792,Inception
-37.9%,<0.1%,1600.0,155017120.0,6068219.0,1,Jul 27,12,Tuesday,False,3792,Inception
-37.7%,-9%,1456.0,160539271.0,5522151.0,1,Jul 28,13,Wednesday,False,3792,Inception
-38.2%,-4.2%,1394.0,165828496.0,5289225.0,1,Jul 29,14,Thursday,False,3792,Inception
-37.4%,+54.9%,2311.0,174022724.0,8194228.0,2,Jul 30,15,Friday,False,3545,Inception
-35.1%,+30.7%,3021.0,184734433.0,10711709.0,1,Jul 31,16,Saturday,False,3545,Inception
-34.7%,-19.9%,2420.0,193313741.0,8579308.0,1,Aug 1,17,Sunday,False,3545,Inception
-29.3%,-50%,1209.0,197603131.0,4289390.0,1,Aug 2,18,Monday,False,3545,Inception
-32.1%,-3.9%,1162.0,201725628.0,4122497.0,1,Aug 3,19,Tuesday,False,3545,Inception
-31.4%,-8.1%,1068.0,205513834.0,3788206.0,1,Aug 4,20,Wednesday,False,3545,Inception
-31.6%,-4.5%,1020.0,209132099.0,3618265.0,1,Aug 5,21,Thursday,False,3545,Inception
-32.2%,+53.4%,1624.0,214684135.0,5552036.0,3,Aug 6,22,Friday,False,3418,Inception
