%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,2313.0,6039423.0,6039423.0,3,May 24,1,Friday,False,2610,Insomnia
-,+29%,2985.0,13832071.0,7792648.0,3,May 25,2,Saturday,False,2610,Insomnia
-,-8.9%,2719.0,20930169.0,7098098.0,3,May 26,3,Sunday,False,2610,Insomnia
-,-27.6%,1968.0,26068419.0,5138250.0,4,May 27Memorial Day,4,Monday,False,2610,Insomnia
-,-61.6%,755.0,28040680.0,1972261.0,3,May 28,5,Tuesday,False,2610,Insomnia
-,-8.5%,691.0,29845032.0,1804352.0,3,May 29,6,Wednesday,False,2610,Insomnia
-,+1%,698.0,31667481.0,1822449.0,3,May 30,7,Thursday,False,2610,Insomnia
-54%,+52.5%,1064.0,34446960.0,2779479.0,6,May 31World Cup (Korea/Japan),8,Friday,False,2610,Insomnia
-42%,+62.5%,1730.0,38964498.0,4517538.0,6,Jun 1World Cup (Korea/Japan),9,Saturday,False,2610,Insomnia
-62.7%,-41.4%,1014.0,41612802.0,2648304.0,6,Jun 2World Cup (Korea/Japan),10,Sunday,False,2610,Insomnia
-79%,-59.3%,412.0,42690259.0,1077457.0,6,Jun 3World Cup (Korea/Japan),11,Monday,False,2610,Insomnia
-42.1%,+6%,437.0,43832515.0,1142256.0,5,Jun 4World Cup (Korea/Japan),12,Tuesday,False,2610,Insomnia
-42.5%,-9.1%,397.0,44870870.0,1038355.0,5,Jun 5World Cup (Korea/Japan),13,Wednesday,False,2610,Insomnia
-43.8%,-1.4%,392.0,45895030.0,1024160.0,6,Jun 6World Cup (Korea/Japan),14,Thursday,False,2610,Insomnia
-31.2%,+86.8%,778.0,47808421.0,1913391.0,8,Jun 7World Cup (Korea/Japan),15,Friday,False,2458,Insomnia
-46.4%,+26.5%,985.0,50229641.0,2421220.0,8,Jun 8World Cup (Korea/Japan),16,Saturday,False,2458,Insomnia
-32.5%,-26.2%,727.0,52017508.0,1787867.0,8,Jun 9World Cup (Korea/Japan),17,Sunday,False,2458,Insomnia
-37.4%,-62.3%,274.0,52691471.0,673963.0,8,Jun 10World Cup (Korea/Japan),18,Monday,False,2458,Insomnia
-30.9%,+17.1%,321.0,53480730.0,789259.0,8,Jun 11World Cup (Korea/Japan),19,Tuesday,False,2458,Insomnia
-32.3%,-11%,285.0,54183426.0,702696.0,8,Jun 12World Cup (Korea/Japan),20,Wednesday,False,2458,Insomnia
-30.2%,+1.8%,290.0,54898661.0,715235.0,8,Jun 13World Cup (Korea/Japan),21,Thursday,False,2458,Insomnia
-45.8%,+45%,537.0,55935437.0,1036776.0,11,Jun 14World Cup (Korea/Japan),22,Friday,False,1929,Insomnia
-36.3%,+48.7%,799.0,57476725.0,1541288.0,11,Jun 15World Cup (Korea/Japan),23,Saturday,False,1929,Insomnia
-49%,-40.9%,472.0,58388082.0,911357.0,11,Jun 16World Cup (Korea/Japan),24,Sunday,False,1929,Insomnia
-41.8%,-56.9%,203.0,58780571.0,392489.0,11,Jun 17World Cup (Korea/Japan),25,Monday,False,1929,Insomnia
