%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,5422.0,1350209.0,1350209.0,1,Nov 5,1,Wednesday,False,249,Interstellar
-,-40.7%,3217.0,2151453.0,801244.0,2,Nov 6,2,Thursday,False,249,Interstellar
-,"+2,005.6%",4737.0,19022462.0,16871009.0,1,Nov 7,3,Friday,False,3561,Interstellar
-,+8.4%,5137.0,37315453.0,18292991.0,2,Nov 8,4,Saturday,False,3561,Interstellar
-,-32.5%,3467.0,49661813.0,12346360.0,2,Nov 9,5,Sunday,False,3561,Interstellar
-,-57.3%,1481.0,54936670.0,5274857.0,1,Nov 10,6,Monday,False,3561,Interstellar
-,+30.8%,1937.0,61837040.0,6900370.0,2,Nov 11,7,Tuesday,False,3561,Interstellar
+153%,-50.5%,959.0,65253194.0,3416154.0,1,Nov 12,8,Wednesday,False,3561,Interstellar
+320.2%,-1.4%,945.0,68619855.0,3366661.0,1,Nov 13,9,Thursday,False,3561,Interstellar
-50.8%,+146.6%,2331.0,76922504.0,8302649.0,2,Nov 14,10,Friday,False,3561,Interstellar
-31.6%,+50.7%,3513.0,89433479.0,12510975.0,3,Nov 15,11,Saturday,False,3561,Interstellar
-39.3%,-40.1%,2104.0,96927481.0,7494002.0,3,Nov 16,12,Sunday,False,3561,Interstellar
-59%,-71.1%,607.0,99091009.0,2163528.0,1,Nov 17,13,Monday,False,3561,Interstellar
-61.4%,+23.2%,748.0,101757321.0,2666312.0,1,Nov 18,14,Tuesday,False,3561,Interstellar
-40.8%,-24.1%,568.0,103780264.0,2022943.0,1,Nov 19,15,Wednesday,False,3561,Interstellar
-46.2%,-10.4%,508.0,105592067.0,1811803.0,1,Nov 20,16,Thursday,False,3561,Interstellar
-49.2%,+132.9%,1235.0,109812474.0,4220407.0,4,Nov 21,17,Friday,False,3415,Interstellar
-45.6%,+61.2%,1992.0,116617794.0,6805320.0,3,Nov 22,18,Saturday,False,3415,Interstellar
-42.4%,-36.6%,1263.0,120933234.0,4315440.0,3,Nov 23,19,Sunday,False,3415,Interstellar
-20.2%,-60%,505.0,122660050.0,1726816.0,3,Nov 24,20,Monday,False,3415,Interstellar
-9.2%,+40.2%,708.0,125080272.0,2420222.0,3,Nov 25,21,Tuesday,False,3415,Interstellar
+56.8%,+31.1%,1034.0,128252404.0,3172132.0,5,Nov 26,22,Wednesday,False,3066,Interstellar
+67.8%,-4.2%,991.0,131292477.0,3040073.0,4,Nov 27Thanksgiving,23,Thursday,False,3066,Interstellar
+56.5%,+117.3%,2154.0,137897051.0,6604574.0,4,Nov 28,24,Friday,False,3066,Interstellar
-10.2%,-7.5%,1993.0,144008590.0,6111539.0,5,Nov 29,25,Saturday,False,3066,Interstellar
-29.9%,-50.5%,987.0,147035482.0,3026892.0,5,Nov 30,26,Sunday,False,3066,Interstellar
-50.9%,-72%,276.0,147883147.0,847665.0,3,Dec 1,27,Monday,False,3066,Interstellar
-56.8%,+23.5%,341.0,148929713.0,1046566.0,3,Dec 2,28,Tuesday,False,3066,Interstellar
-73.2%,-18.7%,277.0,149780549.0,850836.0,3,Dec 3,29,Wednesday,False,3066,Interstellar
-71.2%,+3%,285.0,150656962.0,876413.0,3,Dec 4,30,Thursday,False,3066,Interstellar
-67.7%,+143.6%,705.0,152792226.0,2135264.0,4,Dec 5,31,Friday,False,3028,Interstellar
-41.4%,+67.7%,1182.0,156373436.0,3581210.0,5,Dec 6,32,Saturday,False,3028,Interstellar
