%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,699.0,2607577.0,86019.0,17,Apr 9,25,Monday,False,123,Memento
-,+13.7%,794.0,2705361.0,97784.0,17,Apr 10,26,Tuesday,False,123,Memento
-,+6.4%,845.0,2809412.0,104051.0,19,Apr 11,27,Wednesday,False,123,Memento
-,+3.7%,877.0,2917333.0,107921.0,19,Apr 12,28,Thursday,False,123,Memento
+15.6%,-,568.0,3948975.0,99468.0,16,Apr 16,32,Monday,False,175,Memento
+10.3%,+8.4%,616.0,4056805.0,107830.0,16,Apr 17,33,Tuesday,False,175,Memento
+0.9%,-2.6%,600.0,4161843.0,105038.0,16,Apr 18,34,Wednesday,False,175,Memento
-8%,-5.4%,567.0,4199605.0,99323.0,16,Apr 19,35,Thursday,False,175,Memento
+4.3%,-,381.0,5512228.0,103753.0,11,Apr 23,39,Monday,False,272,Memento
+6.1%,+10.3%,420.0,5626642.0,114414.0,14,Apr 24,40,Tuesday,False,272,Memento
+5.2%,-3.4%,406.0,5737194.0,110552.0,12,Apr 25,41,Wednesday,False,272,Memento
-2.3%,-12.2%,356.0,5791761.0,97014.0,13,Apr 26,42,Thursday,False,272,Memento
+7.1%,-,340.0,7175318.0,111076.0,13,Apr 30,46,Monday,False,326,Memento
+6.3%,+9.5%,373.0,7296958.0,121640.0,12,May 1,47,Tuesday,False,326,Memento
+1.5%,-7.7%,344.0,7409220.0,112262.0,12,May 2,48,Wednesday,False,326,Memento
+7.5%,-7.1%,319.0,7475074.0,104300.0,12,May 3,49,Thursday,False,326,Memento
+8.1%,-,292.0,8833710.0,120041.0,9,May 7,53,Monday,False,411,Memento
+12%,+13.4%,331.0,8969894.0,136184.0,10,May 8,54,Tuesday,False,411,Memento
+6.7%,-12%,291.0,9089696.0,119802.0,9,May 9,55,Wednesday,False,411,Memento
+19.9%,+4.4%,304.0,9161381.0,125073.0,8,May 10,56,Thursday,False,411,Memento
+18.5%,-,318.0,10524185.0,142223.0,7,May 14,60,Monday,False,446,Memento
+13.9%,+9.1%,347.0,10679324.0,155139.0,8,May 15,61,Tuesday,False,446,Memento
+14.5%,-11.5%,307.0,10816554.0,137230.0,8,May 16,62,Wednesday,False,446,Memento
+16%,+5.7%,325.0,10907274.0,145061.0,8,May 17,63,Thursday,False,445,Memento
+17.6%,-,345.0,12354859.0,167294.0,9,May 21,67,Monday,False,484,Memento
+3.7%,-3.9%,332.0,12515710.0,160851.0,9,May 22,68,Tuesday,False,484,Memento
+12.1%,-4.3%,317.0,12669589.0,153879.0,9,May 23,69,Wednesday,False,484,Memento
-2.9%,-8.5%,290.0,12564650.0,140793.0,9,May 24,70,Thursday,False,484,Memento
+143.7%,-,767.0,14540658.0,407698.0,8,May 28Memorial Day,74,Monday,False,531,Memento
-2.1%,-61.4%,296.0,14698094.0,157436.0,7,May 29,75,Tuesday,False,531,Memento
-8.8%,-10.9%,264.0,14838399.0,140305.0,7,May 30,76,Wednesday,False,531,Memento
-1.6%,-1.3%,260.0,14960995.0,138506.0,8,May 31,77,Thursday,False,531,Memento
-70.4%,-,251.0,16172088.0,120531.0,10,Jun 4,81,Monday,False,479,Memento
-16%,+9.7%,276.0,16304301.0,132213.0,10,Jun 5,82,Tuesday,False,479,Memento
-16.4%,-11.3%,244.0,16421574.0,117273.0,10,Jun 6,83,Wednesday,False,479,Memento
-17.7%,-2.8%,238.0,16530723.0,114029.0,10,Jun 7,84,Thursday,False,479,Memento
-14.6%,-,227.0,17374696.0,102969.0,11,Jun 11,88,Monday,False,452,Memento
-14.9%,+9.2%,248.0,17487166.0,112470.0,11,Jun 12,89,Tuesday,False,452,Memento
-20.9%,-17.5%,205.0,17579953.0,92787.0,11,Jun 13,90,Wednesday,False,452,Memento
-0.8%,+21.9%,250.0,17691400.0,113064.0,11,Jun 14,91,Thursday,False,452,Memento
-,-,286.0,19667579.0,93457.0,13,Jun 25,102,Monday,False,326,Memento
-,-62.2%,108.0,19702918.0,35339.0,13,Jun 26,103,Tuesday,False,326,Memento
-,+154.6%,275.0,19792887.0,89969.0,14,Jun 27,104,Wednesday,False,326,Memento
-,+8.9%,300.0,19931081.0,97939.0,14,Jun 28,105,Thursday,False,326,Memento
