%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,9934.0,39290344.0,39290344.0,1,Apr 24,1,Friday,False,3955,Michael
-,-17.4%,8208.0,71753757.0,32463413.0,1,Apr 25,2,Saturday,False,3955,Michael
-,-21.6%,6435.0,97206874.0,25453117.0,1,Apr 26,3,Sunday,False,3955,Michael
-,-69.9%,1939.0,104877330.0,7670456.0,1,Apr 27,4,Monday,False,3955,Michael
-,+44.8%,2808.0,115986297.0,11108967.0,1,Apr 28,5,Tuesday,False,3955,Michael
-,-34.8%,1830.0,123225941.0,7239644.0,1,Apr 29,6,Wednesday,False,3955,Michael
-,-9.1%,1663.0,129803832.0,6577891.0,1,Apr 30,7,Thursday,False,3955,Michael
-63.7%,+116.6%,3603.0,144054265.0,14250433.0,2,May 1,8,Friday,False,3955,Michael
-29.3%,+61%,5801.0,167000506.0,22946241.0,2,May 2,9,Saturday,False,3955,Michael
-32.4%,-25%,4350.0,184207084.0,17206578.0,2,May 3,10,Sunday,False,3955,Michael
-40.3%,-73.4%,1156.0,188782898.0,4575814.0,2,May 4,11,Monday,False,3955,Michael
-42.4%,+40%,1619.0,195187048.0,6404150.0,2,May 5,12,Tuesday,False,3955,Michael
-34.5%,-26%,1198.0,199927348.0,4740300.0,2,May 6,13,Wednesday,False,3955,Michael
-38.2%,-14.3%,1027.0,203989704.0,4062356.0,2,May 7,14,Thursday,False,3955,Michael
-38.3%,+116.5%,2477.0,212785100.0,8795396.0,3,May 8,15,Friday,False,3550,Michael
-37.1%,+64.2%,4067.0,227225210.0,14440110.0,2,May 9,16,Saturday,False,3550,Michael
-14.8%,+1.6%,4131.0,241893270.0,14668060.0,2,May 10,17,Sunday,False,3550,Michael
-21.8%,-75.6%,1007.0,245470682.0,3577412.0,1,May 11,18,Monday,False,3550,Michael
-26.2%,+32.1%,1330.0,250194940.0,4724258.0,2,May 12,19,Tuesday,False,3550,Michael
-29.8%,-29.6%,936.0,253520614.0,3325674.0,1,May 13,20,Wednesday,False,3550,Michael
