%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,2668.0,6977085.0,6977085.0,2,May 15,1,Friday,False,2615,Obsession
-,-22.4%,2071.0,12393995.0,5416910.0,4,May 16,2,Saturday,False,2615,Obsession
-,-11.3%,1836.0,17196855.0,4802860.0,3,May 17,3,Sunday,False,2615,Obsession
-,-39.4%,1112.0,20106720.0,2909865.0,1,May 18,4,Monday,False,2615,Obsession
-,+25.2%,1393.0,23750980.0,3644260.0,1,May 19,5,Tuesday,False,2615,Obsession
-,-11.2%,1237.0,26986955.0,3235975.0,1,May 20,6,Wednesday,False,2615,Obsession
-,+5%,1299.0,30384010.0,3397055.0,1,May 21,7,Thursday,False,2615,Obsession
-12.7%,+79.2%,2293.0,36472180.0,6088170.0,2,May 22,8,Friday,False,2655,Obsession
+59.2%,+41.7%,3249.0,45098370.0,8626190.0,2,May 23,9,Saturday,False,2655,Obsession
+92.6%,+7.2%,3483.0,54346350.0,9247980.0,2,May 24,10,Sunday,False,2655,Obsession
+175.5%,-13.3%,3019.0,62364240.0,8017890.0,2,May 25Memorial Day,11,Monday,False,2655,Obsession
+51.6%,-31.1%,2081.0,67889980.0,5525740.0,2,May 26,12,Tuesday,False,2655,Obsession
+74.1%,+2%,2122.0,73524085.0,5634105.0,1,May 27,13,Wednesday,False,2655,Obsession
+42.3%,-14.2%,1820.0,78357650.0,4833565.0,1,May 28,14,Thursday,False,2655,Obsession
+34.5%,+69.4%,2944.0,86547555.0,8189905.0,2,May 29,15,Friday,False,2781,Obsession
+17.4%,+23.7%,3642.0,96676725.0,10129170.0,3,May 30,16,Saturday,False,2781,Obsession
-1.9%,-10.4%,3263.0,105753130.0,9076405.0,2,May 31,17,Sunday,False,2781,Obsession
-34.5%,-42.1%,1888.0,111004315.0,5251185.0,2,Jun 1,18,Monday,False,2781,Obsession
+4.1%,+9.6%,2068.0,116757055.0,5752740.0,2,Jun 2,19,Tuesday,False,2781,Obsession
-10.1%,-11.9%,1822.0,121824860.0,5067805.0,2,Jun 3,20,Wednesday,False,2781,Obsession
-2.6%,-7.1%,1692.0,126531930.0,4707070.0,3,Jun 4,21,Thursday,False,2781,Obsession
-8.4%,+59.4%,2586.0,134033765.0,7501835.0,4,Jun 5,22,Friday,False,2900,Obsession
-3.8%,+29.9%,3361.0,143780910.0,9747145.0,4,Jun 6,23,Saturday,False,2900,Obsession
-10.3%,-16.5%,2807.0,151921395.0,8140485.0,2,Jun 7,24,Sunday,False,2900,Obsession
-19.8%,-48.3%,1452.0,156133260.0,4211865.0,1,Jun 8,25,Monday,False,2900,Obsession
-11.6%,+20.8%,1754.0,161220640.0,5087380.0,2,Jun 9,26,Tuesday,False,2900,Obsession
-16.8%,-17.1%,1454.0,165439095.0,4218455.0,1,Jun 10,27,Wednesday,False,2900,Obsession
-16.2%,-6.5%,1359.0,169382965.0,3943870.0,1,Jun 11,28,Thursday,False,2900,Obsession
-16.5%,+58.9%,2042.0,175647850.0,6264885.0,2,Jun 12,29,Friday,False,3068,Obsession
-28.6%,+11.1%,2269.0,182609870.0,6962020.0,2,Jun 13,30,Saturday,False,3068,Obsession
