%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,9146.0,33017635.0,33017635.0,2,Jul 21,1,Friday,False,3610,Oppenheimer
-,-20.5%,7270.0,59265775.0,26248140.0,2,Jul 22,2,Saturday,False,3610,Oppenheimer
-,-11.7%,6423.0,82455420.0,23189645.0,2,Jul 23,3,Sunday,False,3610,Oppenheimer
-,-45.4%,3510.0,95127370.0,12671950.0,2,Jul 24,4,Monday,False,3610,Oppenheimer
-,-4.7%,3344.0,107200900.0,12073530.0,2,Jul 25,5,Tuesday,False,3610,Oppenheimer
-,-11.7%,2951.0,117856745.0,10655845.0,2,Jul 26,6,Wednesday,False,3610,Oppenheimer
-,-6.1%,2771.0,127860430.0,10003685.0,2,Jul 27,7,Thursday,False,3610,Oppenheimer
-59.3%,+34.2%,3681.0,141287905.0,13427475.0,2,Jul 28,8,Friday,False,3647,Oppenheimer
-30.6%,+35.7%,4995.0,159505020.0,18217115.0,2,Jul 29,9,Saturday,False,3647,Oppenheimer
-35.1%,-17.3%,4129.0,174566060.0,15061040.0,2,Jul 30,10,Sunday,False,3647,Oppenheimer
-45.9%,-54.5%,1879.0,181420520.0,6854460.0,2,Jul 31,11,Monday,False,3647,Oppenheimer
-42.2%,+1.9%,1914.0,188402495.0,6981975.0,2,Aug 1,12,Tuesday,False,3647,Oppenheimer
-44.8%,-15.7%,1613.0,194286505.0,5884010.0,3,Aug 2,13,Wednesday,False,3647,Oppenheimer
-44.2%,-5.1%,1530.0,199868620.0,5582115.0,2,Aug 3,14,Thursday,False,3647,Oppenheimer
-37.9%,+49.3%,2307.0,208204665.0,8336045.0,4,Aug 4,15,Friday,False,3612,Oppenheimer
-38.7%,+33.9%,3089.0,219362870.0,11158205.0,2,Aug 5,16,Saturday,False,3612,Oppenheimer
-36.1%,-13.7%,2665.0,228989660.0,9626790.0,2,Aug 6,17,Sunday,False,3612,Oppenheimer
-30.7%,-50.7%,1315.0,233739675.0,4750015.0,2,Aug 7,18,Monday,False,3612,Oppenheimer
