%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,8265.0,33118027.0,33118027.0,1,Mar 20,1,Friday,False,4007,Project Hail Mary
-,-18.6%,6730.0,60088848.0,26970821.0,1,Mar 21,2,Saturday,False,4007,Project Hail Mary
-,-24.3%,5095.0,80506007.0,20417159.0,1,Mar 22,3,Sunday,False,4007,Project Hail Mary
-,-65.9%,1737.0,87466708.0,6960701.0,1,Mar 23,4,Monday,False,4007,Project Hail Mary
-,+35.2%,2349.0,96879326.0,9412618.0,1,Mar 24,5,Tuesday,False,4007,Project Hail Mary
-,-28.3%,1684.0,103628052.0,6748726.0,1,Mar 25,6,Wednesday,False,4007,Project Hail Mary
-,-9.1%,1531.0,109764644.0,6136592.0,1,Mar 26,7,Thursday,False,4007,Project Hail Mary
-55.7%,+139.1%,3599.0,124438130.0,14673486.0,1,Mar 27,8,Friday,False,4077,Project Hail Mary
-15.4%,+55.6%,5598.0,147264714.0,22826584.0,1,Mar 28,9,Saturday,False,4077,Project Hail Mary
-18.9%,-27.4%,4062.0,163826496.0,16561782.0,1,Mar 29,10,Sunday,False,4077,Project Hail Mary
-22.3%,-67.3%,1327.0,169237221.0,5410725.0,1,Mar 30,11,Monday,False,4077,Project Hail Mary
-15.3%,+47.4%,1956.0,177212913.0,7975692.0,1,Mar 31,12,Tuesday,False,4077,Project Hail Mary
-35.4%,-45.4%,1069.0,181571548.0,4358635.0,2,Apr 1,13,Wednesday,False,4077,Project Hail Mary
-19.2%,+13.7%,1215.0,186527010.0,4955462.0,2,Apr 2,14,Thursday,False,4077,Project Hail Mary
-29.7%,+108.1%,2639.0,196841337.0,10314327.0,2,Apr 3,15,Friday,False,3907,Project Hail Mary
-46.1%,+19.3%,3149.0,209144833.0,12303496.0,2,Apr 4,16,Saturday,False,3907,Project Hail Mary
-45%,-26%,2330.0,218250153.0,9105320.0,2,Apr 5Easter Sunday,17,Sunday,False,3907,Project Hail Mary
-31.1%,-59%,954.0,221979224.0,3729071.0,2,Apr 6,18,Monday,False,3907,Project Hail Mary
-49.5%,+8%,1030.0,226006662.0,4027438.0,2,Apr 7,19,Tuesday,False,3907,Project Hail Mary
-29.7%,-23.9%,784.0,229071756.0,3065094.0,2,Apr 8,20,Wednesday,False,3907,Project Hail Mary
-39.3%,-1.9%,769.0,232077974.0,3006218.0,2,Apr 9,21,Thursday,False,3907,Project Hail Mary
-33.7%,+127.3%,1790.0,238912258.0,6834284.0,2,Apr 10,22,Friday,False,3817,Project Hail Mary
-15.1%,+52.8%,2736.0,249356166.0,10443908.0,2,Apr 11,23,Saturday,False,3817,Project Hail Mary
-24.6%,-34.3%,1797.0,256218578.0,6862412.0,2,Apr 12,24,Sunday,False,3817,Project Hail Mary
-49.4%,-72.5%,493.0,258104005.0,1885427.0,2,Apr 13,25,Monday,False,3817,Project Hail Mary
-34.4%,+40.1%,691.0,260744752.0,2640747.0,2,Apr 14,26,Tuesday,False,3817,Project Hail Mary
-36.4%,-26.1%,511.0,262695481.0,1950729.0,2,Apr 15,27,Wednesday,False,3817,Project Hail Mary
-35.4%,-0.5%,508.0,264636697.0,1941216.0,2,Apr 16,28,Thursday,False,3817,Project Hail Mary
-23.5%,+169.2%,1367.0,269862164.0,5225467.0,3,Apr 17,29,Friday,False,3820,Project Hail Mary
-14.2%,+71.6%,2346.0,278826785.0,8964621.0,2,Apr 18,30,Saturday,False,3820,Project Hail Mary
-7.9%,-29.5%,1655.0,285150314.0,6323529.0,2,Apr 19,31,Sunday,False,3820,Project Hail Mary
-8.8%,-72.8%,450.0,286870530.0,1720216.0,2,Apr 20,32,Monday,False,3820,Project Hail Mary
-10.9%,+36.7%,615.0,289222148.0,2351618.0,2,Apr 21,33,Tuesday,False,3820,Project Hail Mary
-14.4%,-29%,436.0,290891055.0,1668907.0,2,Apr 22,34,Wednesday,False,3820,Project Hail Mary
-31.4%,-20.2%,348.0,292223522.0,1332467.0,2,Apr 23,35,Thursday,False,3820,Project Hail Mary
-37.4%,+145.4%,931.0,295492914.0,3269392.0,3,Apr 24,36,Friday,False,3510,Project Hail Mary
-34.8%,+78.9%,1666.0,301341595.0,5848681.0,3,Apr 25,37,Saturday,False,3510,Project Hail Mary
-41.1%,-36.3%,1061.0,305067658.0,3726063.0,3,Apr 26,38,Sunday,False,3510,Project Hail Mary
-37.4%,-71.1%,306.0,306143942.0,1076284.0,2,Apr 27,39,Monday,False,3510,Project Hail Mary
-36.9%,+37.8%,422.0,307627513.0,1483571.0,3,Apr 28,40,Tuesday,False,3510,Project Hail Mary
-31.4%,-22.8%,326.0,308772699.0,1145186.0,2,Apr 29,41,Wednesday,False,3510,Project Hail Mary
-23.7%,-11.3%,289.0,309788784.0,1016085.0,3,Apr 30,42,Thursday,False,3510,Project Hail Mary
-31.3%,+120.9%,743.0,312033249.0,2244465.0,5,May 1,43,Friday,False,3017,Project Hail Mary
-34.4%,+71%,1271.0,315870512.0,3837263.0,4,May 2,44,Saturday,False,3017,Project Hail Mary
-34.7%,-36.6%,805.0,318301805.0,2431293.0,4,May 3,45,Sunday,False,3017,Project Hail Mary
-32%,-69.9%,242.0,319033750.0,731945.0,3,May 4,46,Monday,False,3017,Project Hail Mary
-31.6%,+38.6%,336.0,320048017.0,1014267.0,3,May 5,47,Tuesday,False,3017,Project Hail Mary
-21.4%,-11.3%,298.0,320947767.0,899750.0,3,May 6,48,Wednesday,False,3017,Project Hail Mary
-25.3%,-15.6%,251.0,321706973.0,759206.0,3,May 7,49,Thursday,False,3017,Project Hail Mary
-30.4%,+105.7%,646.0,323268613.0,1561640.0,6,May 8,50,Friday,False,2417,Project Hail Mary
-30.1%,+71.7%,1109.0,325949321.0,2680708.0,6,May 9,51,Saturday,False,2417,Project Hail Mary
-3.2%,-12.2%,973.0,328302282.0,2352961.0,5,May 10,52,Sunday,False,2417,Project Hail Mary
-10.2%,-72.1%,271.0,328959685.0,657403.0,5,May 11,53,Monday,False,2417,Project Hail Mary
-20.6%,+22.5%,333.0,329764777.0,805092.0,5,May 12,54,Tuesday,False,2417,Project Hail Mary
-27.6%,-19.1%,269.0,330416151.0,651374.0,6,May 13,55,Wednesday,False,2417,Project Hail Mary
-28.9%,-17.1%,223.0,330955815.0,539664.0,5,May 14,56,Thursday,False,2417,Project Hail Mary
-29.7%,+103.4%,504.0,332053498.0,1097683.0,7,May 15,57,Friday,False,2177,Project Hail Mary
-36%,+56.3%,788.0,333769610.0,1716112.0,7,May 16,58,Saturday,False,2177,Project Hail Mary
-47.6%,-28.2%,566.0,335002307.0,1232697.0,7,May 17,59,Sunday,False,2177,Project Hail Mary
-21.7%,-58.3%,236.0,335516856.0,514549.0,8,May 18,60,Monday,False,2177,Project Hail Mary
-29.8%,+9.8%,259.0,336081681.0,564825.0,6,May 19,61,Tuesday,False,2177,Project Hail Mary
-28.8%,-17.9%,213.0,336545443.0,463762.0,6,May 20,62,Wednesday,False,2177,Project Hail Mary
-35.7%,-25.1%,159.0,336892690.0,347247.0,7,May 21,63,Thursday,False,2177,Project Hail Mary
-43.8%,+77.7%,467.0,337509854.0,617164.0,10,May 22,64,Friday,False,1321,Project Hail Mary
-37.3%,+74.4%,814.0,338586133.0,1076279.0,10,May 23,65,Saturday,False,1321,Project Hail Mary
-18.5%,-6.6%,760.0,339590853.0,1004720.0,10,May 24,66,Sunday,False,1321,Project Hail Mary
+71.1%,-12.4%,666.0,340471443.0,880590.0,10,May 25Memorial Day,67,Monday,False,1321,Project Hail Mary
-39%,-60.9%,260.0,340816014.0,344571.0,10,May 26,68,Tuesday,False,1321,Project Hail Mary
-34%,-11.2%,231.0,341121909.0,305895.0,10,May 27,69,Wednesday,False,1321,Project Hail Mary
-46.6%,-39.4%,140.0,341307287.0,185378.0,10,May 28,70,Thursday,False,1321,Project Hail Mary
-54.7%,+50.8%,359.0,341586820.0,279533.0,14,May 29,71,Friday,False,777,Project Hail Mary
-59%,+58%,568.0,342028399.0,441579.0,14,May 30,72,Saturday,False,777,Project Hail Mary
-68.5%,-28.4%,406.0,342344433.0,316034.0,15,May 31,73,Sunday,False,777,Project Hail Mary
-84.2%,-55.9%,179.0,342483869.0,139436.0,15,Jun 1,74,Monday,False,777,Project Hail Mary
-44.2%,+37.9%,247.0,342676106.0,192237.0,14,Jun 2,75,Tuesday,False,777,Project Hail Mary
-46.6%,-15.1%,210.0,342839386.0,163280.0,13,Jun 3,76,Wednesday,False,777,Project Hail Mary
-56.6%,-50.7%,103.0,342919878.0,80492.0,15,Jun 4,77,Thursday,False,777,Project Hail Mary
-60.7%,+36.5%,377.0,343029731.0,109853.0,19,Jun 5,78,Friday,False,291,Project Hail Mary
-59%,+64.6%,621.0,343210580.0,180849.0,18,Jun 6,79,Saturday,False,291,Project Hail Mary
-57.8%,-26.2%,458.0,343344019.0,133439.0,18,Jun 7,80,Sunday,False,291,Project Hail Mary
-57.1%,-55.1%,205.0,343403886.0,59867.0,17,Jun 8,81,Monday,False,291,Project Hail Mary
-60.3%,+27.4%,262.0,343480143.0,76257.0,17,Jun 9,82,Tuesday,False,291,Project Hail Mary
-61.2%,-16.9%,217.0,343543494.0,63351.0,17,Jun 10,83,Wednesday,False,291,Project Hail Mary
-40.8%,-24.7%,163.0,343591173.0,47679.0,16,Jun 11,84,Thursday,False,291,Project Hail Mary
-49.7%,+15.9%,266.0,343646410.0,55237.0,20,Jun 12,85,Friday,False,207,Project Hail Mary
-59.7%,+32%,352.0,343719329.0,72919.0,19,Jun 13,86,Saturday,False,207,Project Hail Mary
-53.1%,-14.2%,302.0,343781890.0,62561.0,18,Jun 14,87,Sunday,False,207,Project Hail Mary
-51.4%,-53.5%,140.0,343810983.0,29093.0,19,Jun 15,88,Monday,False,207,Project Hail Mary
-47.2%,+38.5%,194.0,343851270.0,40287.0,18,Jun 16,89,Tuesday,False,207,Project Hail Mary
-38.5%,-3.3%,188.0,343890222.0,38952.0,18,Jun 17,90,Wednesday,False,207,Project Hail Mary
-31.2%,-15.8%,158.0,343923009.0,32787.0,16,Jun 18,91,Thursday,False,207,Project Hail Mary
-61%,-34.2%,287.0,343944578.0,21569.0,21,Jun 19,92,Friday,False,75,Project Hail Mary
-61.3%,+30.9%,376.0,343972813.0,28235.0,21,Jun 20,93,Saturday,False,75,Project Hail Mary
-51.2%,+8.1%,406.0,344003335.0,30522.0,20,Jun 21,94,Sunday,False,75,Project Hail Mary
-51%,-53.3%,190.0,344017598.0,14263.0,20,Jun 22,95,Monday,False,75,Project Hail Mary
-62.9%,+4.8%,199.0,344032545.0,14947.0,21,Jun 23,96,Tuesday,False,75,Project Hail Mary
-70.1%,-22%,155.0,344044203.0,11658.0,21,Jun 24,97,Wednesday,False,75,Project Hail Mary
-82.3%,-50.2%,77.0,344050007.0,5804.0,22,Jun 25,98,Thursday,False,75,Project Hail Mary
