%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,9029.0,34502265.0,34502265.0,1,Apr 1,1,Wednesday,False,3821,Super Mario Galaxy Movie
-,-28.7%,6441.0,59113455.0,24611190.0,1,Apr 2,2,Thursday,False,3821,Super Mario Galaxy Movie
-,+96.7%,11383.0,107514960.0,48401505.0,1,Apr 3,3,Friday,False,4252,Super Mario Galaxy Movie
-,+5.4%,11995.0,158517835.0,51002875.0,1,Apr 4,4,Saturday,False,4252,Super Mario Galaxy Movie
-,-36.7%,7596.0,190816795.0,32298960.0,1,Apr 5Easter Sunday,5,Sunday,False,4252,Super Mario Galaxy Movie
-,-47.9%,3958.0,207649375.0,16832580.0,1,Apr 6,6,Monday,False,4252,Super Mario Galaxy Movie
-,-12.1%,3478.0,222440470.0,14791095.0,1,Apr 7,7,Tuesday,False,4252,Super Mario Galaxy Movie
-74.7%,-40.9%,2055.0,231181265.0,8740795.0,1,Apr 8,8,Wednesday,False,4252,Super Mario Galaxy Movie
-67.8%,-9.2%,1866.0,239117135.0,7935870.0,1,Apr 9,9,Thursday,False,4252,Super Mario Galaxy Movie
-64.4%,+117.2%,4023.0,256354650.0,17237515.0,1,Apr 10,10,Friday,False,4284,Super Mario Galaxy Movie
-40.8%,+75.3%,7052.0,286566375.0,30211725.0,1,Apr 11,11,Saturday,False,4284,Super Mario Galaxy Movie
-36.1%,-31.7%,4816.0,307200780.0,20634405.0,1,Apr 12,12,Sunday,False,4284,Super Mario Galaxy Movie
-82.7%,-85.9%,679.0,310112585.0,2911805.0,1,Apr 13,13,Monday,False,4284,Super Mario Galaxy Movie
-67.6%,+64.6%,1118.0,314905415.0,4792830.0,1,Apr 14,14,Tuesday,False,4284,Super Mario Galaxy Movie
-68.7%,-42.8%,639.0,317645005.0,2739590.0,1,Apr 15,15,Wednesday,False,4284,Super Mario Galaxy Movie
-67.2%,-5%,607.0,320247060.0,2602055.0,1,Apr 16,16,Thursday,False,4284,Super Mario Galaxy Movie
-56%,+191.3%,1769.0,327827350.0,7580290.0,1,Apr 17,17,Friday,False,4284,Super Mario Galaxy Movie
-45.1%,+118.9%,3873.0,344420830.0,16593480.0,1,Apr 18,18,Saturday,False,4284,Super Mario Galaxy Movie
-40.3%,-25.7%,2876.0,356744310.0,12323480.0,1,Apr 19,19,Sunday,False,4284,Super Mario Galaxy Movie
-30.7%,-83.6%,470.0,358761215.0,2016905.0,1,Apr 20,20,Monday,False,4284,Super Mario Galaxy Movie
-36.1%,+51.9%,715.0,361825355.0,3064140.0,1,Apr 21,21,Tuesday,False,4284,Super Mario Galaxy Movie
-31.6%,-38.8%,437.0,363700515.0,1875160.0,1,Apr 22,22,Wednesday,False,4284,Super Mario Galaxy Movie
-38.8%,-15.1%,371.0,365293150.0,1592635.0,1,Apr 23,23,Thursday,False,4284,Super Mario Galaxy Movie
-39.4%,+188.2%,1229.0,369883230.0,4590080.0,2,Apr 24,24,Friday,False,3732,Super Mario Galaxy Movie
-42.1%,+109.2%,2573.0,379486975.0,9603745.0,2,Apr 25,25,Saturday,False,3732,Super Mario Galaxy Movie
-48.1%,-33.5%,1712.0,385876730.0,6389755.0,2,Apr 26,26,Sunday,False,3732,Super Mario Galaxy Movie
-47.1%,-83.3%,286.0,386944185.0,1067455.0,3,Apr 27,27,Monday,False,3732,Super Mario Galaxy Movie
-48.7%,+47.4%,421.0,388517270.0,1573085.0,2,Apr 28,28,Tuesday,False,3732,Super Mario Galaxy Movie
-45%,-34.4%,276.0,389549225.0,1031955.0,3,Apr 29,29,Wednesday,False,3732,Super Mario Galaxy Movie
-35.5%,-0.4%,275.0,390576935.0,1027710.0,2,Apr 30,30,Thursday,False,3732,Super Mario Galaxy Movie
-39.7%,+169.3%,809.0,393344500.0,2767565.0,3,May 1,31,Friday,False,3419,Super Mario Galaxy Movie
-40.8%,+105.5%,1663.0,399031860.0,5687360.0,3,May 2,32,Saturday,False,3419,Super Mario Galaxy Movie
-42.9%,-35.8%,1067.0,402680945.0,3649085.0,3,May 3,33,Sunday,False,3419,Super Mario Galaxy Movie
-43.1%,-83.3%,177.0,403288805.0,607860.0,5,May 4,34,Monday,False,3419,Super Mario Galaxy Movie
-39.2%,+57.3%,279.0,404245175.0,956370.0,4,May 5,35,Tuesday,False,3419,Super Mario Galaxy Movie
-31.2%,-25.8%,207.0,404954835.0,709660.0,4,May 6,36,Wednesday,False,3419,Super Mario Galaxy Movie
-45.4%,-21%,164.0,405515565.0,560730.0,5,May 7,37,Thursday,False,3419,Super Mario Galaxy Movie
-43.9%,+177.1%,505.0,407069315.0,1553750.0,7,May 8,38,Friday,False,3075,Super Mario Galaxy Movie
-46.6%,+95.5%,987.0,410107170.0,3037855.0,5,May 9,39,Saturday,False,3075,Super Mario Galaxy Movie
-43.8%,-32.5%,666.0,412156435.0,2049265.0,6,May 10,40,Sunday,False,3075,Super Mario Galaxy Movie
-26.3%,-78.1%,145.0,412604225.0,447790.0,6,May 11,41,Monday,False,3075,Super Mario Galaxy Movie
-30.2%,+49%,217.0,413271510.0,667285.0,6,May 12,42,Tuesday,False,3075,Super Mario Galaxy Movie
-33.4%,-29.2%,153.0,413744165.0,472655.0,7,May 13,43,Wednesday,False,3075,Super Mario Galaxy Movie
-24.2%,-10.1%,138.0,414169015.0,424850.0,7,May 14,44,Thursday,False,3075,Super Mario Galaxy Movie
-31.9%,+149.1%,378.0,415227265.0,1058250.0,8,May 15,45,Friday,False,2793,Super Mario Galaxy Movie
-34.5%,+88.1%,712.0,417217450.0,1990185.0,6,May 16,46,Saturday,False,2793,Super Mario Galaxy Movie
-29.3%,-27.2%,518.0,418665615.0,1448165.0,6,May 17,47,Sunday,False,2793,Super Mario Galaxy Movie
+22.1%,-62.3%,195.0,419212200.0,546585.0,7,May 18,48,Monday,False,2793,Super Mario Galaxy Movie
-24.3%,-7.6%,180.0,419717170.0,504970.0,7,May 19,49,Tuesday,False,2793,Super Mario Galaxy Movie
-15.9%,-21.2%,142.0,420114905.0,397735.0,7,May 20,50,Wednesday,False,2793,Super Mario Galaxy Movie
-16.9%,-11.3%,126.0,420467830.0,352925.0,6,May 21,51,Thursday,False,2793,Super Mario Galaxy Movie
-33%,+101%,353.0,421177100.0,709270.0,9,May 22,52,Friday,False,2005,Super Mario Galaxy Movie
