%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
+77.7%,+550.8%,1774.0,8373101.0,4986442.0,1,Sep 3COVID-19 Pandemic,9,Thursday,False,2810,Tenet
-21.3%,+41.4%,998.0,11179328.0,2806227.0,1,Sep 4COVID-19 Pandemic,10,Friday,False,2810,Tenet
+346.7%,+413.2%,1269.0,14745607.0,3566279.0,1,Sep 5COVID-19 Pandemic,14,Saturday,False,2810,Tenet
+289%,+392.2%,1060.0,17726191.0,2980584.0,1,Sep 6COVID-19 Pandemic,15,Sunday,False,2810,Tenet
+14.7%,+295.3%,809.0,20001852.0,2275661.0,1,Sep 7COVID-19 Pandemic Labor Day,16,Monday,False,2810,Tenet
-69%,-34%,329.0,20928498.0,926646.0,1,Sep 8COVID-19 Pandemic,17,Tuesday,False,2810,Tenet
-51%,-61.7%,284.0,21726907.0,798409.0,1,Sep 9COVID-19 Pandemic,18,Wednesday,False,2810,Tenet
+36.6%,-28.9%,272.0,22493137.0,766230.0,1,Sep 10COVID-19 Pandemic,19,Thursday,False,2810,Tenet
+185.6%,+389.1%,681.0,24477446.0,1984309.0,1,Sep 11COVID-19 Pandemic,20,Friday,False,2910,Tenet
+112.9%,+599.5%,1027.0,27468417.0,2990971.0,1,Sep 12COVID-19 Pandemic,23,Saturday,False,2910,Tenet
-21.9%,+54.3%,561.0,29096604.0,1628187.0,1,Sep 13COVID-19 Pandemic,24,Sunday,False,2899,Tenet
-48%,-62.1%,192.0,29657405.0,560801.0,1,Sep 14COVID-19 Pandemic,25,Monday,False,2910,Tenet
+71.3%,-14.7%,238.0,30352250.0,694845.0,1,Sep 15COVID-19 Pandemic,26,Tuesday,False,2910,Tenet
+19%,+98.5%,208.0,30957803.0,605553.0,1,Sep 16COVID-19 Pandemic,27,Wednesday,False,2910,Tenet
+40.7%,+67.3%,197.0,31533474.0,575671.0,1,Sep 17COVID-19 Pandemic,28,Thursday,False,2910,Tenet
+228.5%,+373.6%,479.0,32938119.0,1404645.0,1,Sep 18COVID-19 Pandemic,29,Friday,False,2930,Tenet
+155.9%,+67.3%,711.0,35023685.0,2085566.0,1,Sep 19COVID-19 Pandemic,32,Saturday,False,2930,Tenet
+253.5%,+66.3%,368.0,36101944.0,1078259.0,1,Sep 20COVID-19 Pandemic,33,Sunday,False,2930,Tenet
+17.9%,+77.4%,138.0,36507688.0,405744.0,1,Sep 21COVID-19 Pandemic,34,Monday,False,2930,Tenet
+71.6%,+74.3%,173.0,37016758.0,509070.0,1,Sep 22COVID-19 Pandemic,35,Tuesday,False,2930,Tenet
+21.8%,+56.8%,139.0,37425860.0,409102.0,1,Sep 23COVID-19 Pandemic,36,Wednesday,False,2930,Tenet
-44.4%,+56%,145.0,37853426.0,427566.0,1,Sep 24COVID-19 Pandemic,37,Thursday,False,2930,Tenet
