%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,15383.0,67165092.0,67165092.0,1,Jul 18,1,Friday,False,4366,The Dark Knight
-,-29.1%,10913.0,114815332.0,47650240.0,1,Jul 19,2,Saturday,False,4366,The Dark Knight
-,-8.5%,9985.0,158411483.0,43596151.0,1,Jul 20,3,Sunday,False,4366,The Dark Knight
-,-43.8%,5610.0,182904796.0,24493313.0,1,Jul 21,4,Monday,False,4366,The Dark Knight
-,-14.8%,4779.0,203773518.0,20868722.0,1,Jul 22,5,Tuesday,False,4366,The Dark Knight
-,-11.9%,4209.0,222150806.0,18377288.0,1,Jul 23,6,Wednesday,False,4366,The Dark Knight
-,-10.4%,3771.0,238615211.0,16464405.0,1,Jul 24,7,Thursday,False,4366,The Dark Knight
-65.4%,+41.1%,5321.0,261847503.0,23232292.0,1,Jul 25,8,Friday,False,4366,The Dark Knight
-40.7%,+21.7%,6475.0,290119997.0,28272494.0,1,Jul 26,9,Saturday,False,4366,The Dark Knight
-45.7%,-16.3%,5419.0,313781677.0,23661680.0,1,Jul 27,10,Sunday,False,4366,The Dark Knight
-57.1%,-55.5%,2442.0,324299793.0,10518116.0,1,Jul 28,11,Monday,False,4306,The Dark Knight
-53.9%,-8.4%,2236.0,333929159.0,9629366.0,1,Jul 29,12,Tuesday,False,4306,The Dark Knight
-52.4%,-9.1%,2033.0,342684300.0,8755141.0,1,Jul 30,13,Wednesday,False,4306,The Dark Knight
-49%,-4%,1951.0,351086846.0,8402546.0,1,Jul 31,14,Thursday,False,4306,The Dark Knight
-45.3%,+51.3%,2979.0,363795881.0,12709035.0,2,Aug 1,15,Friday,False,4266,The Dark Knight
-39.2%,+35.3%,4029.0,380987031.0,17191150.0,1,Aug 2,16,Saturday,False,4266,The Dark Knight
-46.1%,-25.8%,2992.0,393751065.0,12764034.0,1,Aug 3,17,Sunday,False,4266,The Dark Knight
-40.2%,-50.7%,1473.0,400038494.0,6287429.0,1,Aug 4,18,Monday,False,4266,The Dark Knight
-41.2%,-10%,1327.0,405699734.0,5661240.0,1,Aug 5,19,Tuesday,False,4266,The Dark Knight
-42%,-10.3%,1229.0,410777101.0,5077367.0,3,Aug 6,20,Wednesday,False,4128,The Dark Knight
-43.7%,-6.8%,1146.0,415511467.0,4734366.0,2,Aug 7,21,Thursday,False,4128,The Dark Knight
-40.4%,+60.1%,1882.0,423088829.0,7577362.0,2,Aug 8Beijing Olympics,22,Friday,False,4025,The Dark Knight
-38.9%,+38.6%,2609.0,433591072.0,10502243.0,1,Aug 9Beijing Olympics,23,Saturday,False,4025,The Dark Knight
-37%,-23.5%,1996.0,441628497.0,8037425.0,1,Aug 10Beijing Olympics,24,Sunday,False,4025,The Dark Knight
-40.5%,-53.4%,929.0,445370695.0,3742198.0,2,Aug 11Beijing Olympics,25,Monday,False,4025,The Dark Knight
-37.9%,-6.1%,873.0,448886084.0,3515389.0,1,Aug 12Beijing Olympics,26,Tuesday,False,4025,The Dark Knight
-40.9%,-14.6%,777.0,451888386.0,3002302.0,2,Aug 13Beijing Olympics,27,Wednesday,False,3862,The Dark Knight
-40.6%,-6.3%,728.0,454702857.0,2814471.0,2,Aug 14Beijing Olympics,28,Thursday,False,3862,The Dark Knight
-34.8%,+75.4%,1375.0,459640812.0,4937955.0,3,Aug 15Beijing Olympics,29,Friday,False,3590,The Dark Knight
-36.1%,+35.9%,1868.0,466349645.0,6708833.0,2,Aug 16Beijing Olympics,30,Saturday,False,3590,The Dark Knight
-41.1%,-29.5%,1318.0,471082150.0,4732505.0,2,Aug 17Beijing Olympics,31,Sunday,False,3590,The Dark Knight
-43.6%,-55.4%,588.0,473194356.0,2112206.0,2,Aug 18Beijing Olympics,32,Monday,False,3590,The Dark Knight
-38.9%,+1.7%,598.0,475342688.0,2148332.0,2,Aug 19Beijing Olympics,33,Tuesday,False,3590,The Dark Knight
-39.9%,-16%,514.0,477148000.0,1805312.0,2,Aug 20Beijing Olympics,34,Wednesday,False,3508,The Dark Knight
-38.7%,-4.4%,492.0,478874461.0,1726461.0,2,Aug 21Beijing Olympics,35,Thursday,False,3508,The Dark Knight
-39.4%,+73.2%,945.0,481865527.0,2991066.0,4,Aug 22Beijing Olympics,36,Friday,False,3163,The Dark Knight
-33.3%,+49.6%,1414.0,486339697.0,4474170.0,3,Aug 23Beijing Olympics,37,Saturday,False,3163,The Dark Knight
-35%,-31.2%,972.0,489416885.0,3077188.0,4,Aug 24Beijing Olympics,38,Sunday,False,3163,The Dark Knight
-44%,-61.5%,374.0,490600141.0,1183256.0,4,Aug 25,39,Monday,False,3163,The Dark Knight
-48.7%,-6.8%,348.0,491702478.0,1102337.0,4,Aug 26,40,Tuesday,False,3163,The Dark Knight
-45.4%,-10.5%,322.0,492688931.0,986453.0,3,Aug 27,41,Wednesday,False,3063,The Dark Knight
-43.1%,-0.4%,320.0,493671047.0,982116.0,3,Aug 28,42,Thursday,False,3063,The Dark Knight
-28.4%,+118%,778.0,495812401.0,2141354.0,5,Aug 29,43,Friday,False,2750,The Dark Knight
-27.4%,+51.6%,1180.0,499058870.0,3246469.0,3,Aug 30,44,Saturday,False,2750,The Dark Knight
+5.1%,-0.4%,1176.0,502293926.0,3235056.0,2,Aug 31,45,Sunday,False,2750,The Dark Knight
+111.7%,-22.6%,910.0,504798337.0,2504411.0,2,Sep 1Labor Day,46,Monday,False,2750,The Dark Knight
-43.8%,-75.3%,225.0,505417800.0,619463.0,3,Sep 2,47,Tuesday,False,2750,The Dark Knight
-45.6%,-13.4%,195.0,505954123.0,536323.0,2,Sep 3,48,Wednesday,False,2750,The Dark Knight
-46.2%,-1.5%,192.0,506482539.0,528416.0,2,Sep 4,49,Thursday,False,2750,The Dark Knight
-31.6%,+177.2%,568.0,507947315.0,1464776.0,4,Sep 5,50,Friday,False,2575,The Dark Knight
-15.7%,+86.8%,1062.0,510683335.0,2736020.0,3,Sep 6,51,Saturday,False,2575,The Dark Knight
-59.4%,-52%,510.0,511997658.0,1314323.0,3,Sep 7,52,Sunday,False,2575,The Dark Knight
-84.9%,-71.3%,146.0,512374922.0,377264.0,3,Sep 8,53,Monday,False,2575,The Dark Knight
-26.7%,+20.4%,176.0,512829031.0,454109.0,3,Sep 9,54,Tuesday,False,2575,The Dark Knight
-23.7%,-9.8%,158.0,513238453.0,409422.0,3,Sep 10,55,Wednesday,False,2575,The Dark Knight
-19.4%,+4.1%,165.0,513664611.0,426158.0,3,Sep 11,56,Thursday,False,2575,The Dark Knight
-23.8%,+161.9%,509.0,514780719.0,1116108.0,7,Sep 12,57,Friday,False,2191,The Dark Knight
-28.7%,+74.9%,890.0,516732450.0,1951731.0,5,Sep 13,58,Saturday,False,2191,The Dark Knight
-19.3%,-45.7%,483.0,517792764.0,1060314.0,6,Sep 14,59,Sunday,False,2191,The Dark Knight
-26.5%,-73.8%,126.0,518070111.0,277347.0,6,Sep 15,60,Monday,False,2191,The Dark Knight
-32.6%,+10.4%,139.0,518376320.0,306209.0,6,Sep 16,61,Tuesday,False,2191,The Dark Knight
-28.6%,-4.5%,133.0,518668741.0,292421.0,6,Sep 17,62,Wednesday,False,2191,The Dark Knight
-28.2%,+4.7%,139.0,518974853.0,306112.0,6,Sep 18,63,Thursday,False,2191,The Dark Knight
-28.1%,+162.3%,421.0,519777880.0,803027.0,10,Sep 19,64,Friday,False,1905,The Dark Knight
-28.7%,+73.3%,730.0,521169518.0,1391638.0,9,Sep 20,65,Saturday,False,1905,The Dark Knight
-32%,-48.2%,378.0,521890027.0,720509.0,9,Sep 21,66,Sunday,False,1905,The Dark Knight
-22.1%,-70%,113.0,522106180.0,216153.0,9,Sep 22,67,Monday,False,1905,The Dark Knight
-23.1%,+9%,123.0,522341786.0,235606.0,9,Sep 23,68,Tuesday,False,1905,The Dark Knight
-20.9%,-1.8%,121.0,522573036.0,231250.0,9,Sep 24,69,Wednesday,False,1905,The Dark Knight
-22.5%,+2.6%,124.0,522810263.0,237227.0,9,Sep 25,70,Thursday,False,1905,The Dark Knight
-46.8%,+79.9%,303.0,523237138.0,426875.0,14,Sep 26,71,Friday,False,1406,The Dark Knight
-41%,+92.4%,584.0,524058474.0,821336.0,13,Sep 27,72,Saturday,False,1406,The Dark Knight
-42.2%,-49.3%,296.0,524474684.0,416210.0,13,Sep 28,73,Sunday,False,1406,The Dark Knight
-42.2%,-70%,88.0,524599547.0,124863.0,14,Sep 29,74,Monday,False,1406,The Dark Knight
-40.1%,+13%,100.0,524740642.0,141095.0,14,Sep 30,75,Tuesday,False,1406,The Dark Knight
-42.3%,-5.4%,94.0,524874072.0,133430.0,13,Oct 1,76,Wednesday,False,1406,The Dark Knight
-45.6%,-3.2%,91.0,525003174.0,129102.0,13,Oct 2,77,Thursday,False,1406,The Dark Knight
-45.9%,+79%,348.0,525234268.0,231094.0,22,Oct 3,78,Friday,False,663,The Dark Knight
-52.4%,+69.3%,590.0,525625565.0,391297.0,21,Oct 4,79,Saturday,False,663,The Dark Knight
-50.5%,-47.4%,310.0,525831387.0,205822.0,21,Oct 5,80,Sunday,False,663,The Dark Knight
-41.3%,-64.4%,110.0,525904670.0,73283.0,21,Oct 6,81,Monday,False,663,The Dark Knight
-43.9%,+8%,119.0,525983815.0,79145.0,21,Oct 7,82,Tuesday,False,663,The Dark Knight
-36.6%,+7%,127.0,526068474.0,84659.0,22,Oct 8,83,Wednesday,False,663,The Dark Knight
-27.1%,+11.2%,141.0,526162586.0,94112.0,21,Oct 9,84,Thursday,False,663,The Dark Knight
-34.4%,+61%,403.0,526314081.0,151495.0,20,Oct 10,85,Friday,False,375,The Dark Knight
-39.8%,+55.4%,627.0,526549462.0,235381.0,19,Oct 11,86,Saturday,False,375,The Dark Knight
-31.3%,-39.9%,377.0,526690914.0,141452.0,23,Oct 12,87,Sunday,False,375,The Dark Knight
+25.8%,-34.8%,245.0,526783113.0,92199.0,19,Oct 13Indig. Peoples' Day,88,Monday,False,375,The Dark Knight
-38.8%,-47.5%,129.0,526831522.0,48409.0,22,Oct 14,89,Tuesday,False,375,The Dark Knight
