%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,17201.0,75754897.0,75754897.0,1,Jul 20,1,Friday,False,4404,The Dark Knight Rises
-,-40.7%,10202.0,120686863.0,44931966.0,1,Jul 21,2,Saturday,False,4404,The Dark Knight Rises
-,-10.5%,9128.0,160887295.0,40200432.0,1,Jul 22,3,Sunday,False,4404,The Dark Knight Rises
-,-51.8%,4402.0,180276424.0,19389129.0,1,Jul 23,4,Monday,False,4404,The Dark Knight Rises
-,-8.4%,4033.0,198038896.0,17762472.0,1,Jul 24,5,Tuesday,False,4404,The Dark Knight Rises
-,-22.5%,3126.0,211808988.0,13770092.0,1,Jul 25,6,Wednesday,False,4404,The Dark Knight Rises
-,-4.1%,2997.0,225011359.0,13202371.0,1,Jul 26,7,Thursday,False,4404,The Dark Knight Rises
-76.6%,+34.3%,4026.0,242745904.0,17734545.0,1,Jul 27London Olympics,8,Friday,False,4404,The Dark Knight Rises
-45%,+39.3%,5611.0,267458321.0,24712417.0,1,Jul 28London Olympics,9,Saturday,False,4404,The Dark Knight Rises
-51.1%,-20.5%,4462.0,287112810.0,19654489.0,1,Jul 29London Olympics,10,Sunday,False,4404,The Dark Knight Rises
-57.9%,-58.5%,1852.0,295272856.0,8160046.0,1,Jul 30London Olympics,11,Monday,False,4404,The Dark Knight Rises
-50.6%,+7.5%,1992.0,304045972.0,8773116.0,1,Jul 31London Olympics,12,Tuesday,False,4404,The Dark Knight Rises
-46.7%,-16.4%,1665.0,311379297.0,7333325.0,1,Aug 1London Olympics,13,Wednesday,False,4404,The Dark Knight Rises
-48.4%,-7%,1548.0,318197764.0,6818467.0,1,Aug 2London Olympics,14,Thursday,False,4404,The Dark Knight Rises
-42.3%,+50%,2410.0,328423814.0,10226050.0,1,Aug 3London Olympics,15,Friday,False,4242,The Dark Knight Rises
-42.2%,+39.6%,3364.0,342696928.0,14273114.0,1,Aug 4London Olympics,16,Saturday,False,4242,The Dark Knight Rises
-42.8%,-21.3%,2649.0,353935094.0,11238166.0,1,Aug 5London Olympics,17,Sunday,False,4242,The Dark Knight Rises
