%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,7927.0,32900084.0,32900084.0,1,May 1,1,Friday,False,4150,The Devil Wears Prada 2
-,-23.7%,6049.0,58005624.0,25105540.0,1,May 2,2,Saturday,False,4150,The Devil Wears Prada 2
-,-25.3%,4516.0,76747075.0,18741451.0,1,May 3,3,Sunday,False,4150,The Devil Wears Prada 2
-,-69.6%,1372.0,82444217.0,5697142.0,1,May 4,4,Monday,False,4150,The Devil Wears Prada 2
-,+45.1%,1991.0,90708623.0,8264406.0,1,May 5,5,Tuesday,False,4150,The Devil Wears Prada 2
-,-28.2%,1430.0,96645284.0,5936661.0,1,May 6,6,Wednesday,False,4150,The Devil Wears Prada 2
-,-12.4%,1252.0,101844258.0,5198974.0,1,May 7,7,Thursday,False,4150,The Devil Wears Prada 2
-69.9%,+90.2%,2354.0,111732749.0,9888491.0,2,May 8,8,Friday,False,4200,The Devil Wears Prada 2
-38.6%,+56%,3673.0,127159893.0,15427144.0,1,May 9,9,Saturday,False,4200,The Devil Wears Prada 2
-13.1%,+5.6%,3877.0,143447244.0,16287351.0,1,May 10,10,Sunday,False,4200,The Devil Wears Prada 2
-40.8%,-79.3%,803.0,146821436.0,3374192.0,2,May 11,11,Monday,False,4200,The Devil Wears Prada 2
-42.3%,+41.3%,1135.0,151588589.0,4767153.0,1,May 12,12,Tuesday,False,4200,The Devil Wears Prada 2
-45.2%,-31.8%,774.0,154839726.0,3251137.0,2,May 13,13,Wednesday,False,4200,The Devil Wears Prada 2
-41.9%,-7%,719.0,157862196.0,3022470.0,2,May 14,14,Thursday,False,4200,The Devil Wears Prada 2
-45.9%,+77%,1396.0,163211581.0,5349385.0,3,May 15,15,Friday,False,3830,The Devil Wears Prada 2
-53.4%,+34.5%,1878.0,170404703.0,7193122.0,2,May 16,16,Saturday,False,3830,The Devil Wears Prada 2
-67.4%,-26.2%,1385.0,175712929.0,5308226.0,2,May 17,17,Sunday,False,3830,The Devil Wears Prada 2
-42.3%,-63.3%,508.0,177659735.0,1946806.0,3,May 18,18,Monday,False,3830,The Devil Wears Prada 2
-46.6%,+30.7%,664.0,180204842.0,2545107.0,3,May 19,19,Tuesday,False,3830,The Devil Wears Prada 2
-46.1%,-31.2%,457.0,181955658.0,1750816.0,3,May 20,20,Wednesday,False,3830,The Devil Wears Prada 2
-48.1%,-10.3%,409.0,183525726.0,1570068.0,3,May 21,21,Thursday,False,3830,The Devil Wears Prada 2
-41%,+101%,956.0,186681860.0,3156134.0,5,May 22,22,Friday,False,3300,The Devil Wears Prada 2
-32.5%,+53.8%,1470.0,191536136.0,4854276.0,4,May 23,23,Saturday,False,3300,The Devil Wears Prada 2
-11.5%,-3.2%,1423.0,196233648.0,4697512.0,4,May 24,24,Sunday,False,3300,The Devil Wears Prada 2
+82.2%,-24.5%,1074.0,199780404.0,3546756.0,4,May 25Memorial Day,25,Monday,False,3300,The Devil Wears Prada 2
-42.1%,-58.4%,446.0,201254642.0,1474238.0,4,May 26,26,Tuesday,False,3300,The Devil Wears Prada 2
-32.1%,-19.3%,360.0,202443724.0,1189082.0,4,May 27,27,Wednesday,False,3300,The Devil Wears Prada 2
-35.8%,-15.2%,305.0,203451594.0,1007870.0,4,May 28,28,Thursday,False,3300,The Devil Wears Prada 2
-46.5%,+67.6%,637.0,205140967.0,1689373.0,7,May 29,29,Friday,False,2650,The Devil Wears Prada 2
-49.8%,+44.3%,919.0,207578515.0,2437548.0,6,May 30,30,Saturday,False,2650,The Devil Wears Prada 2
-62.8%,-28.4%,658.0,209323906.0,1745391.0,6,May 31,31,Sunday,False,2650,The Devil Wears Prada 2
-81.5%,-62.4%,247.0,209980494.0,656588.0,6,Jun 1,32,Monday,False,2650,The Devil Wears Prada 2
-34.5%,+47.1%,364.0,210946269.0,965775.0,6,Jun 2,33,Tuesday,False,2650,The Devil Wears Prada 2
-38.1%,-23.8%,277.0,211682487.0,736218.0,5,Jun 3,34,Wednesday,False,2650,The Devil Wears Prada 2
-51.5%,-33.7%,184.0,212170934.0,488447.0,7,Jun 4,35,Thursday,False,2650,The Devil Wears Prada 2
-55.5%,+53.8%,417.0,212922303.0,751369.0,10,Jun 5,36,Friday,False,1800,The Devil Wears Prada 2
-52.3%,+54.7%,645.0,214084502.0,1162199.0,10,Jun 6,37,Saturday,False,1800,The Devil Wears Prada 2
-50.1%,-25.1%,483.0,214955337.0,870835.0,10,Jun 7,38,Sunday,False,1800,The Devil Wears Prada 2
-45.6%,-59%,198.0,215312353.0,357016.0,10,Jun 8,39,Monday,False,1800,The Devil Wears Prada 2
-47.9%,+40.8%,279.0,215815101.0,502748.0,10,Jun 9,40,Tuesday,False,1800,The Devil Wears Prada 2
-44.7%,-19%,226.0,216222425.0,407324.0,10,Jun 10,41,Wednesday,False,1800,The Devil Wears Prada 2
-39.4%,-27.3%,164.0,216518386.0,295961.0,9,Jun 11,42,Thursday,False,1800,The Devil Wears Prada 2
-45.2%,+39.2%,411.0,216930229.0,411843.0,13,Jun 12,43,Friday,False,1000,The Devil Wears Prada 2
-58.3%,+17.6%,484.0,217414572.0,484343.0,13,Jun 13,44,Saturday,False,1000,The Devil Wears Prada 2
-49.5%,-9.2%,439.0,217854487.0,439915.0,12,Jun 14,45,Sunday,False,1000,The Devil Wears Prada 2
-49.6%,-59.1%,180.0,218034560.0,180073.0,12,Jun 15,46,Monday,False,1000,The Devil Wears Prada 2
-48.7%,+43.1%,257.0,218292333.0,257773.0,12,Jun 16,47,Tuesday,False,1000,The Devil Wears Prada 2
-42.5%,-9.2%,234.0,218526350.0,234017.0,10,Jun 17,48,Wednesday,False,1000,The Devil Wears Prada 2
-46.8%,-32.7%,157.0,218683830.0,157480.0,11,Jun 18,49,Thursday,False,1000,The Devil Wears Prada 2
-45.2%,+43.2%,530.0,218909322.0,225492.0,15,Jun 19,50,Friday,False,425,The Devil Wears Prada 2
-52.1%,+2.9%,545.0,219141255.0,231933.0,15,Jun 20,51,Saturday,False,425,The Devil Wears Prada 2
-62.3%,-28.4%,390.0,219307223.0,165968.0,15,Jun 21,52,Sunday,False,425,The Devil Wears Prada 2
-52.1%,-48%,203.0,219393532.0,86309.0,16,Jun 22,53,Monday,False,425,The Devil Wears Prada 2
-55.6%,+32.6%,269.0,219507997.0,114465.0,15,Jun 23,54,Tuesday,False,425,The Devil Wears Prada 2
-59.5%,-17.1%,223.0,219602888.0,94891.0,14,Jun 24,55,Wednesday,False,425,The Devil Wears Prada 2
-58.1%,-30.5%,155.0,219668803.0,65915.0,14,Jun 25,56,Thursday,False,425,The Devil Wears Prada 2
-60.5%,+35.3%,342.0,219757977.0,89174.0,19,Jun 26,57,Friday,False,260,The Devil Wears Prada 2
-46.1%,+40.3%,481.0,219883050.0,125073.0,17,Jun 27,58,Saturday,False,260,The Devil Wears Prada 2
-40.5%,-21%,379.0,219981840.0,98790.0,18,Jun 28,59,Sunday,False,260,The Devil Wears Prada 2
-55.1%,-60.8%,149.0,220020605.0,38765.0,19,Jun 29,60,Monday,False,260,The Devil Wears Prada 2
-56.9%,+27.3%,189.0,220069936.0,49331.0,19,Jun 30,61,Tuesday,False,260,The Devil Wears Prada 2
-73%,-48%,98.0,220095574.0,25638.0,21,Jul 1,62,Wednesday,False,260,The Devil Wears Prada 2
-59.4%,+4.3%,102.0,220122322.0,26748.0,20,Jul 2,63,Thursday,False,260,The Devil Wears Prada 2
-30.2%,+132.8%,541.0,220184600.0,62278.0,17,Jul 3,64,Friday,False,115,The Devil Wears Prada 2
-61.6%,-22.9%,417.0,220232639.0,48039.0,16,Jul 4Independence Day,65,Saturday,False,115,The Devil Wears Prada 2
-58.9%,-15.4%,353.0,220273258.0,40619.0,18,Jul 5,66,Sunday,False,115,The Devil Wears Prada 2
-50.9%,-53.1%,165.0,220292297.0,19039.0,16,Jul 6,67,Monday,False,115,The Devil Wears Prada 2
-48.9%,+32.3%,219.0,220317494.0,25197.0,17,Jul 7,68,Tuesday,False,115,The Devil Wears Prada 2
-15%,-13.5%,189.0,220339284.0,21790.0,18,Jul 8,69,Wednesday,False,115,The Devil Wears Prada 2
-37.8%,-23.6%,144.0,220355934.0,16650.0,17,Jul 9,70,Thursday,False,115,The Devil Wears Prada 2
-56.2%,+64%,341.0,220383234.0,27300.0,19,Jul 10,71,Friday,False,80,The Devil Wears Prada 2
-27.6%,+27.5%,435.0,220418034.0,34800.0,18,Jul 11,72,Saturday,False,80,The Devil Wears Prada 2
-35.3%,-24.5%,328.0,220444317.0,26283.0,18,Jul 12,73,Sunday,False,80,The Devil Wears Prada 2
-31.9%,-50.6%,162.0,220457290.0,12973.0,18,Jul 13,74,Monday,False,80,The Devil Wears Prada 2
-46.8%,+3.3%,167.0,220470694.0,13404.0,19,Jul 14,75,Tuesday,False,80,The Devil Wears Prada 2
-40.1%,-2.6%,163.0,220483750.0,13056.0,18,Jul 15,76,Wednesday,False,80,The Devil Wears Prada 2
-38.6%,-21.7%,127.0,220493976.0,10226.0,18,Jul 16,77,Thursday,False,80,The Devil Wears Prada 2
-49.2%,+35.7%,346.0,220507853.0,13877.0,18,Jul 17,78,Friday,False,40,The Devil Wears Prada 2
-66.1%,-14.9%,295.0,220519656.0,11803.0,19,Jul 18,79,Saturday,False,40,The Devil Wears Prada 2
-59.4%,-9.5%,267.0,220530339.0,10683.0,18,Jul 19,80,Sunday,False,40,The Devil Wears Prada 2
-37.9%,-24.6%,201.0,220538389.0,8050.0,19,Jul 20,81,Monday,False,40,The Devil Wears Prada 2
-55.7%,-26.2%,148.0,220544330.0,5941.0,20,Jul 21,82,Tuesday,False,40,The Devil Wears Prada 2
-43.8%,+23.6%,183.0,220551671.0,7341.0,21,Jul 22,83,Wednesday,False,40,The Devil Wears Prada 2
-51.3%,-32.2%,124.0,220556651.0,4980.0,20,Jul 23,84,Thursday,False,40,The Devil Wears Prada 2
