%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,13007.0,50977435.0,50977435.0,1,Jul 17,1,Friday,False,3919,The Odyssey
-,-18.1%,10649.0,92712920.0,41735485.0,1,Jul 18,2,Saturday,False,3919,The Odyssey
-,-26.2%,7856.0,123502900.0,30789980.0,1,Jul 19,3,Sunday,False,3919,The Odyssey
-,-39.3%,4765.0,142180315.0,18677415.0,1,Jul 20,4,Monday,False,3919,The Odyssey
-,+15.1%,5485.0,163678510.0,21498195.0,1,Jul 21,5,Tuesday,False,3919,The Odyssey
-,-16%,4610.0,181746315.0,18067805.0,1,Jul 22,6,Wednesday,False,3919,The Odyssey
-,-2.4%,4497.0,199371800.0,17625485.0,1,Jul 23,7,Thursday,False,3919,The Odyssey
-49.6%,+45.7%,6513.0,225048680.0,25676880.0,1,Jul 24,8,Friday,False,3942,The Odyssey
-17.2%,+34.6%,8768.0,259616015.0,34567335.0,1,Jul 25,9,Saturday,False,3942,The Odyssey
-3.3%,-13.9%,7554.0,289394310.0,29778295.0,1,Jul 26,10,Sunday,False,3942,The Odyssey
