%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,2254.0,5142402.0,5142402.0,1,Oct 20,1,Friday,False,2281,The Prestige
-,+13.8%,2565.0,10993404.0,5851002.0,1,Oct 21,2,Saturday,False,2281,The Prestige
-,-34.9%,1669.0,14801808.0,3808404.0,1,Oct 22,3,Sunday,False,2281,The Prestige
-,-68.6%,523.0,15996963.0,1195155.0,1,Oct 23,4,Monday,False,2281,The Prestige
-,-2.1%,512.0,17167058.0,1170095.0,1,Oct 24,5,Tuesday,False,2281,The Prestige
-,-13%,446.0,18184818.0,1017760.0,2,Oct 25,6,Wednesday,False,2281,The Prestige
-,+0.5%,448.0,19207527.0,1022709.0,2,Oct 26,7,Thursday,False,2281,The Prestige
-41.8%,+192.9%,1313.0,22202681.0,2995154.0,2,Oct 27,8,Friday,False,2281,The Prestige
-30%,+36.7%,1795.0,26298167.0,4095486.0,3,Oct 28,9,Saturday,False,2281,The Prestige
-34.8%,-39.4%,1088.0,28780742.0,2482575.0,3,Oct 29,10,Sunday,False,2281,The Prestige
-44.9%,-73.5%,288.0,29439089.0,658347.0,3,Oct 30,11,Monday,False,2281,The Prestige
-33.7%,+17.9%,340.0,30215316.0,776227.0,3,Oct 31Halloween,12,Tuesday,False,2281,The Prestige
-31.6%,-10.3%,305.0,30911710.0,696394.0,3,Nov 1,13,Wednesday,False,2281,The Prestige
-29.7%,+3.2%,315.0,31630273.0,718563.0,3,Nov 2,14,Thursday,False,2281,The Prestige
-19.3%,+236.3%,1048.0,34046720.0,2416447.0,5,Nov 3,15,Friday,False,2305,The Prestige
-17.9%,+39.1%,1458.0,37408233.0,3361513.0,6,Nov 4,16,Saturday,False,2305,The Prestige
-30.4%,-48.6%,749.0,39135541.0,1727308.0,6,Nov 5,17,Sunday,False,2305,The Prestige
-16.6%,-68.2%,238.0,39684828.0,549287.0,6,Nov 6,18,Monday,False,2305,The Prestige
-23.5%,+8.1%,257.0,40278427.0,593599.0,6,Nov 7,19,Tuesday,False,2305,The Prestige
-30.5%,-18.4%,210.0,40762753.0,484326.0,6,Nov 8,20,Wednesday,False,2305,The Prestige
-10.3%,+33%,279.0,41407030.0,644277.0,5,Nov 9,21,Thursday,False,2305,The Prestige
-33.1%,+150.8%,722.0,43023022.0,1615992.0,8,Nov 10,22,Friday,False,2236,The Prestige
-38.5%,+27.9%,924.0,45090406.0,2067384.0,8,Nov 11,23,Saturday,False,2236,The Prestige
-36.6%,-47%,489.0,46185205.0,1094799.0,8,Nov 12,24,Sunday,False,2236,The Prestige
-39.5%,-69.6%,148.0,46517689.0,332484.0,8,Nov 13,25,Monday,False,2236,The Prestige
-47.9%,-7%,138.0,46826977.0,309288.0,8,Nov 14,26,Tuesday,False,2236,The Prestige
-40.3%,-6.5%,129.0,47116082.0,289105.0,8,Nov 15,27,Wednesday,False,2236,The Prestige
-53.8%,+2.9%,133.0,47413688.0,297606.0,8,Nov 16,28,Thursday,False,2236,The Prestige
-60.7%,+113.4%,432.0,48048911.0,635223.0,13,Nov 17,29,Friday,False,1470,The Prestige
-59.4%,+32.2%,571.0,48888581.0,839670.0,13,Nov 18,30,Saturday,False,1470,The Prestige
-56.6%,-43.4%,323.0,49363657.0,475076.0,13,Nov 19,31,Sunday,False,1470,The Prestige
-42.7%,-59.9%,129.0,49554141.0,190484.0,12,Nov 20,32,Monday,False,1470,The Prestige
-11.6%,+43.5%,185.0,49827509.0,273368.0,10,Nov 21,33,Tuesday,False,1470,The Prestige
-30.7%,-26.8%,354.0,50027718.0,200209.0,17,Nov 22,34,Wednesday,False,565,The Prestige
-29%,+5.5%,373.0,50238889.0,211171.0,19,Nov 23Thanksgiving,35,Thursday,False,565,The Prestige
-44.1%,+68.1%,628.0,50593938.0,355049.0,18,Nov 24,36,Friday,False,565,The Prestige
-58.1%,-0.9%,622.0,50945633.0,351695.0,19,Nov 25,37,Saturday,False,565,The Prestige
-67.5%,-56.1%,273.0,51099913.0,154280.0,19,Nov 26,38,Sunday,False,565,The Prestige
-73.1%,-66.8%,90.0,51151117.0,51204.0,18,Nov 27,39,Monday,False,565,The Prestige
-80.6%,+3.7%,94.0,51204227.0,53110.0,18,Nov 28,40,Tuesday,False,565,The Prestige
-76.1%,-9.7%,84.0,51252175.0,47948.0,18,Nov 29,41,Wednesday,False,565,The Prestige
-75.9%,+6.3%,90.0,51303155.0,50980.0,18,Nov 30,42,Thursday,False,565,The Prestige
