%±_lw,%±_yd,avg_per_theater,cumulative_gross,daily_gross,daily_rank,date,day_of_run,dow,estimated,theaters,title
-,-,16070.0,71109759.0,71109759.0,1,Jun 19,1,Friday,False,4425,Toy Story 5
-,-32.8%,10792.0,118865134.0,47755375.0,1,Jun 20,2,Saturday,False,4425,Toy Story 5
-,-14.5%,9223.0,159677837.0,40812703.0,1,Jun 21,3,Sunday,False,4425,Toy Story 5
-,-57.6%,3909.0,176979273.0,17301436.0,1,Jun 22,4,Monday,False,4425,Toy Story 5
-,+36.9%,5354.0,200671894.0,23692621.0,1,Jun 23,5,Tuesday,False,4425,Toy Story 5
-,-41%,3160.0,214656204.0,13984310.0,1,Jun 24,6,Wednesday,False,4425,Toy Story 5
-,-10%,2844.0,227241642.0,12585438.0,1,Jun 25,7,Thursday,False,4425,Toy Story 5
-69.8%,+70.4%,4846.0,248685709.0,21444067.0,1,Jun 26,8,Friday,False,4425,Toy Story 5
-42.4%,+28.2%,6213.0,276179801.0,27494092.0,1,Jun 27,9,Saturday,False,4425,Toy Story 5
-46.4%,-20.4%,4947.0,298070670.0,21890869.0,1,Jun 28,10,Sunday,False,4425,Toy Story 5
-52.7%,-62.6%,1850.0,306258508.0,8187838.0,1,Jun 29,11,Monday,False,4425,Toy Story 5
-46.8%,+54%,2849.0,318866110.0,12607602.0,1,Jun 30,12,Tuesday,False,4425,Toy Story 5
-43.7%,-37.5%,1780.0,326742954.0,7876844.0,2,Jul 1,13,Wednesday,False,4425,Toy Story 5
-31.6%,+9.3%,1944.0,335348690.0,8605736.0,2,Jul 2,14,Thursday,False,4425,Toy Story 5
-36.7%,+57.7%,3413.0,348917012.0,13568322.0,2,Jul 3,15,Friday,False,3975,Toy Story 5
-72.6%,-44.4%,1896.0,356454423.0,7537411.0,3,Jul 4Independence Day,16,Saturday,False,3975,Toy Story 5
-57.9%,+22.3%,2318.0,365668929.0,9214506.0,2,Jul 5,17,Sunday,False,3975,Toy Story 5
-44.7%,-50.8%,1139.0,370198297.0,4529368.0,2,Jul 6,18,Monday,False,3975,Toy Story 5
-47%,+47.6%,1681.0,376883879.0,6685582.0,2,Jul 7,19,Tuesday,False,3975,Toy Story 5
-43.2%,-33%,1126.0,381360990.0,4477111.0,2,Jul 8,20,Wednesday,False,3975,Toy Story 5
-54.5%,-12.6%,984.0,385272720.0,3911730.0,2,Jul 9,21,Thursday,False,3975,Toy Story 5
-56.9%,+49.6%,1636.0,391123579.0,5850859.0,4,Jul 10,22,Friday,False,3575,Toy Story 5
-6.1%,+21%,1980.0,398203059.0,7079480.0,3,Jul 11,23,Saturday,False,3575,Toy Story 5
-34%,-14.2%,1699.0,404280481.0,6077422.0,3,Jul 12,24,Sunday,False,3575,Toy Story 5
-45.5%,-59.4%,690.0,406750641.0,2470160.0,3,Jul 13,25,Monday,False,3575,Toy Story 5
-42.3%,+56.1%,1078.0,410606567.0,3855926.0,3,Jul 14,26,Tuesday,False,3575,Toy Story 5
-39.4%,-29.6%,759.0,413321921.0,2715354.0,3,Jul 15,27,Wednesday,False,3575,Toy Story 5
-28.5%,+3%,782.0,416118566.0,2796645.0,3,Jul 16,28,Thursday,False,3575,Toy Story 5
-26.7%,+53.3%,1261.0,420407188.0,4288622.0,4,Jul 17,29,Friday,False,3400,Toy Story 5
-15%,+40.4%,1770.0,426426798.0,6019610.0,3,Jul 18,30,Saturday,False,3400,Toy Story 5
-43.2%,-42.7%,1015.0,429878644.0,3451846.0,3,Jul 19,31,Sunday,False,3400,Toy Story 5
-30.6%,-50.3%,504.0,431592920.0,1714276.0,4,Jul 20,32,Monday,False,3400,Toy Story 5
-20.9%,+77.9%,897.0,434642978.0,3050058.0,4,Jul 21,33,Tuesday,False,3400,Toy Story 5
-23.5%,-31.9%,610.0,436720018.0,2077040.0,4,Jul 22,34,Wednesday,False,3400,Toy Story 5
-34.4%,-11.6%,539.0,438555658.0,1835640.0,4,Jul 23,35,Thursday,False,3400,Toy Story 5
-29.9%,+63.9%,891.0,441563664.0,3008006.0,4,Jul 24,36,Friday,False,3375,Toy Story 5
-32.1%,+35.8%,1210.0,445648746.0,4085082.0,3,Jul 25,37,Saturday,False,3375,Toy Story 5
-11.1%,-24.9%,909.0,448716909.0,3068163.0,3,Jul 26,38,Sunday,False,3375,Toy Story 5
