update_date,target_month,months_ahead,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
2013-08-20,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-20,2013-08,0,0.1622798409,0.1404224952,0.1181246353,0.1024840705
2013-08-21,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-21,2013-08,0,0.1353778859,0.1404224952,0.1040674488,0.1024840705
2013-08-22,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-22,2013-08,0,0.1353778859,0.1404224952,0.1040674488,0.1024840705
2013-08-23,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-23,2013-08,0,0.1353778859,0.1404224952,0.1040674488,0.1024840705
2013-08-26,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-26,2013-08,0,0.1353778859,0.1404224952,0.1040674488,0.1024840705
2013-08-27,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-27,2013-08,0,0.1248922461,0.1404224952,0.0979955205,0.1024840705
2013-08-28,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-28,2013-08,0,0.1248922461,0.1404224952,0.0979955205,0.1024840705
2013-08-29,2013-07,-1,,,0.1332665448,0.1252425572
2013-08-29,2013-08,0,0.1248922461,0.1404224952,0.0979955205,0.1024840705
2013-08-30,2013-08,0,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-03,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-03,2013-09,0,0.3936874753,0.147090261,0.250694406,0.1035892678
2013-09-04,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-04,2013-09,0,0.3128509454,0.147090261,0.2039744124,0.1035892678
2013-09-05,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-05,2013-09,0,0.3128509454,0.147090261,0.2039744124,0.1035892678
2013-09-06,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-06,2013-09,0,0.3128509454,0.147090261,0.2039744124,0.1035892678
2013-09-09,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-09,2013-09,0,0.3128509454,0.147090261,0.2039744124,0.1035892678
2013-09-10,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-10,2013-09,0,0.2983250987,0.147090261,0.1955791057,0.1035892678
2013-09-11,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-11,2013-09,0,0.2983250987,0.147090261,0.1955791057,0.1035892678
2013-09-12,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-12,2013-09,0,0.2983250987,0.147090261,0.1955791057,0.1035892678
2013-09-13,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-13,2013-09,0,0.2983250987,0.147090261,0.1955791057,0.1035892678
2013-09-16,2013-08,-1,0.1248922461,0.1404224952,0.0949263408,0.099364721
2013-09-16,2013-09,0,0.2983250987,0.147090261,0.1955791057,0.1035892678
2013-09-17,2013-08,-1,,,0.0874538778,0.0992484737
2013-09-17,2013-09,0,0.2726734763,0.1460007406,0.1819654776,0.1035795805
2013-09-18,2013-08,-1,,,0.0874538778,0.0992484737
2013-09-18,2013-09,0,0.2726734763,0.1460007406,0.1819654776,0.1035795805
2013-09-19,2013-08,-1,,,0.0874538778,0.0992484737
2013-09-19,2013-09,0,0.2726734763,0.1460007406,0.1819654776,0.1035795805
2013-09-20,2013-08,-1,,,0.0874538778,0.0992484737
2013-09-20,2013-09,0,0.2726734763,0.1460007406,0.1819654776,0.1035795805
2013-09-23,2013-08,-1,,,0.0874538778,0.0992484737
2013-09-23,2013-09,0,0.2726734763,0.1460007406,0.1819654776,0.1035795805
2013-09-24,2013-08,-1,,,0.0874538778,0.0992484737
2013-09-24,2013-09,0,0.2416745955,0.1460007406,0.1641979259,0.1035795805
2013-09-25,2013-08,-1,,,0.0874538778,0.0992484737
2013-09-25,2013-09,0,0.2416745955,0.1460007406,0.1641979259,0.1035795805
