start,end,val,accn,fy,fp,form,filed,frame,quarterly_val,tag,ticker
2013-01-01,2013-12-31,7358000000,0001652044-16-000012,2015,FY,10-K,2016-02-11,,7358000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2014-01-01,2014-09-30,7408000000,0001652044-15-000005,2015,Q3,10-Q,2015-10-29,,7408000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2014-01-01,2014-12-31,11014000000,0001652044-17-000008,2016,FY,10-K,2017-02-03,CY2014,3606000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2015-01-01,2015-03-31,2927000000,0001652044-16-000021,2016,Q1,10-Q,2016-05-03,CY2015Q1,2927000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2015-01-01,2015-06-30,5442000000,0001652044-16-000032,2016,Q2,10-Q,2016-08-04,,2515000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2015-01-01,2015-09-30,7848000000,0001652044-16-000038,2016,Q3,10-Q,2016-11-03,,2406000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2015-01-01,2015-12-31,9950000000,0001652044-18-000007,2017,FY,10-K,2018-02-06,CY2015,2102000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2016-01-01,2016-03-31,2444000000,0001652044-17-000014,2017,Q1,10-Q,2017-05-02,CY2016Q1,2444000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2016-01-01,2016-06-30,4580000000,0001652044-17-000026,2017,Q2,10-Q,2017-07-25,,2136000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2016-07-01,2016-09-30,2554000000,0001652044-17-000042,2017,Q3,10-Q,2017-10-27,CY2016Q3,2554000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2016-01-01,2016-12-31,10212000000,0001652044-19-000004,2018,FY,10-K,2019-02-05,CY2016,3078000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2017-01-01,2017-03-31,2508000000,0001652044-18-000016,2018,Q1,10-Q,2018-04-24,CY2017Q1,2508000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2017-01-01,2017-06-30,5339000000,0001652044-18-000027,2018,Q2,10-Q,2018-07-24,,2831000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2017-07-01,2017-09-30,3538000000,0001652044-18-000035,2018,Q3,10-Q,2018-10-26,CY2017Q3,3538000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2017-01-01,2017-12-31,13184000000,0001652044-20-000008,2019,FY,10-K,2020-02-04,CY2017,4307000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2018-01-01,2018-03-31,7299000000,0001652044-19-000015,2019,Q1,10-Q,2019-04-30,CY2018Q1,7299000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2018-04-01,2018-06-30,5477000000,0001652044-19-000023,2019,Q2,10-Q,2019-07-26,CY2018Q2,5477000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2018-01-01,2018-09-30,18058000000,0001652044-19-000032,2019,Q3,10-Q,2019-10-29,,5282000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2018-01-01,2018-12-31,25139000000,0001652044-21-000010,2020,FY,10-K,2021-02-03,CY2018,7081000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2019-01-01,2019-03-31,4638000000,0001652044-20-000021,2020,Q1,10-Q,2020-04-29,CY2019Q1,4638000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2019-01-01,2019-06-30,10764000000,0001652044-20-000032,2020,Q2,10-Q,2020-07-31,,6126000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2019-07-01,2019-09-30,6732000000,0001652044-20-000050,2020,Q3,10-Q,2020-10-30,CY2019Q3,6732000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2019-01-01,2019-12-31,23548000000,0001652044-22-000019,2021,FY,10-K,2022-02-02,CY2019,6052000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2020-01-01,2020-03-31,6005000000,0001652044-21-000020,2021,Q1,10-Q,2021-04-28,CY2020Q1,6005000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2020-01-01,2020-06-30,11396000000,0001652044-21-000047,2021,Q2,10-Q,2021-07-28,,5391000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2020-01-01,2020-09-30,16802000000,0001652044-21-000057,2021,Q3,10-Q,2021-10-27,,5406000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2020-01-01,2020-12-31,22281000000,0001652044-23-000016,2022,FY,10-K,2023-02-03,CY2020,5479000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2021-01-01,2021-03-31,5942000000,0001652044-22-000029,2022,Q1,10-Q,2022-04-27,CY2021Q1,5942000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2021-01-01,2021-06-30,11438000000,0001652044-22-000071,2022,Q2,10-Q,2022-07-27,,5496000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2021-01-01,2021-09-30,18257000000,0001652044-22-000090,2022,Q3,10-Q,2022-10-26,,6819000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2021-01-01,2021-12-31,24640000000,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021,6383000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2022-01-01,2022-03-31,9786000000,0001652044-23-000045,2023,Q1,10-Q,2023-04-26,CY2022Q1,9786000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2022-01-01,2022-06-30,16614000000,0001652044-23-000070,2023,Q2,10-Q,2023-07-26,,6828000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2022-01-01,2022-09-30,23890000000,0001652044-23-000094,2023,Q3,10-Q,2023-10-25,,7276000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2022-01-01,2022-12-31,31485000000,0001652044-25-000014,2024,FY,10-K,2025-02-05,CY2022,7595000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2023-01-01,2023-03-31,6289000000,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2023Q1,6289000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
2023-01-01,2023-06-30,13177000000,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,6888000000.0,PaymentsToAcquirePropertyPlantAndEquipment,GOOGL
